! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
0.9856391 0.0204913
0.9667372 0.0277418
0.9468709 0.0322931
0.9269744 0.0367110
0.9070717 0.0411010
0.8871655 0.0454746
0.8672566 0.0498365
0.8473448 0.0541847
0.8274287 0.0585139
0.8075077 0.0628203
0.7875790 0.0670905
0.7676436 0.0713291
0.7476974 0.0755159
0.7277392 0.0796462
0.7077696 0.0837219
0.6877859 0.0877285
0.6677859 0.0916514
0.6477696 0.0954892
0.6277354 0.0992314
0.6076822 0.1028710
0.5876058 0.1063901
0.5675057 0.1097750
0.5473823 0.1130125
0.5272330 0.1160721
0.5070507 0.1188958
0.4868297 0.1214290
0.4665677 0.1236254
0.4462667 0.1254341
0.4259324 0.1268265
0.4055729 0.1277928
0.3851981 0.1283388
0.3648163 0.1284369
0.3444380 0.1281080
0.3240715 0.1273569
0.3037268 0.1261639
0.2834119 0.1245484
0.2631364 0.1224988
0.2429080 0.1200234
0.2227373 0.1171075
0.2026279 0.1137331
0.1826010 0.1098798
0.1626906 0.1054969
0.1429253 0.1005496
0.1233439 0.0949499
0.1039934 0.0885912
0.0849327 0.0813619
0.0662920 0.0731173
0.0482517 0.0636655
0.0310998 0.0526708
0.0155185 0.0395709
0.0030953 0.0234848
-0.0003873 0.0040569
0.0138549 -0.0100627
0.0320661 -0.0191390
0.0512574 -0.0260104
0.0708634 -0.0315437
0.0907104 -0.0361863
0.1107108 -0.0401259
0.1308116 -0.0434709
0.1509946 -0.0462714
0.1712412 -0.0485892
0.1915389 -0.0504471
0.2118730 -0.0518837
0.2322309 -0.0529124
0.2525988 -0.0535597
0.2729703 -0.0538474
0.2933418 -0.0537845
0.3137101 -0.0533884
0.3340722 -0.0526855
0.3544246 -0.0516746
0.3747650 -0.0503850
0.3950896 -0.0488159
0.4153951 -0.0469827
0.4356765 -0.0448819
0.4559300 -0.0425287
0.4761522 -0.0399372
0.4963392 -0.0371194
0.5164937 -0.0340973
0.5366219 -0.0309050
0.5567255 -0.0275552
0.5768096 -0.0240846
0.5968772 -0.0205167
0.6169351 -0.0168978
0.6369903 -0.0132613
0.6570533 -0.0096618
0.6771300 -0.0061439
0.6972302 -0.0027740
0.7173604 0.0004003
0.7375292 0.0033168
0.7577432 0.0059253
0.7780047 0.0081655
0.7983075 0.0099852
0.8186427 0.0113502
0.8390019 0.0122109
0.8593749 0.0125485
0.8797526 0.0123363
0.9001187 0.0115710
0.9204558 0.0102441
0.9407487 0.0083575
0.9609858 0.0059447
0.9811590 0.0030405
1.0013072 0.0000040
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-7.468000 
-179.000000	0.051262  	0.001000  	-7.468000 
-178.000000	0.102525  	0.001000  	-7.468000 
-177.000000	0.153787  	0.001000  	-7.468000 
-176.000000	0.205049  	0.001000  	-7.468000 
-175.000000	0.256311  	0.001000  	-7.468000 
-174.000000	0.307574  	0.001000  	-7.468000 
-173.000000	0.358836  	0.001000  	-7.468000 
-172.000000	0.410098  	0.001623  	-7.468000 
-171.000000	0.461360  	0.005983  	-7.468000 
-170.000000	0.512623  	0.012778  	-7.468000 
-169.000000	0.563885  	0.021399  	-7.468000 
-168.000000	0.615147  	0.031276  	-7.468000 
-167.000000	0.666410  	0.041680  	-7.468000 
-166.000000	0.717672  	0.052784  	-7.468000 
-165.000000	0.768934  	0.064912  	-7.468000 
-164.000000	0.820196  	0.077541  	-7.468000 
-163.000000	0.871459  	0.090997  	-7.468000 
-162.000000	0.922721  	0.105250  	-7.468000 
-161.000000	0.973983  	0.119977  	-7.468000 
-160.000000	1.025245  	0.135623  	-7.468000 
-159.000000	1.076508  	0.151856  	-7.468000 
-158.000000	1.127770  	0.168530  	-7.468000 
-157.000000	1.101352  	0.187126  	-7.468000 
-156.000000	1.074934  	0.205723  	-7.468000 
-155.000000	1.048515  	0.224319  	-7.468000 
-154.000000	1.022097  	0.242915  	-7.468000 
-153.000000	0.996839  	0.261867  	-7.468000 
-152.000000	0.978539  	0.282949  	-7.468000 
-151.000000	0.960240  	0.304031  	-7.468000 
-150.000000	0.941940  	0.325113  	-7.468000 
-149.000000	0.923640  	0.346195  	-7.468000 
-148.000000	0.906440  	0.367816  	-7.468000 
-147.000000	0.891986  	0.390784  	-7.468000 
-146.000000	0.877533  	0.413753  	-7.468000 
-145.000000	0.863080  	0.436722  	-7.468000 
-144.000000	0.848627  	0.459690  	-7.468000 
-143.000000	0.834839  	0.483188  	-7.468000 
-142.000000	0.821938  	0.507391  	-7.468000 
-141.000000	0.809036  	0.531593  	-7.468000 
-140.000000	0.796135  	0.555796  	-7.468000 
-139.000000	0.783234  	0.579999  	-7.468000 
-138.000000	0.770469  	0.604515  	-7.468000 
-137.000000	0.757808  	0.629265  	-7.468000 
-136.000000	0.745147  	0.654015  	-7.468000 
-135.000000	0.732486  	0.678765  	-7.468000 
-134.000000	0.719824  	0.703515  	-7.468000 
-133.000000	0.706795  	0.728155  	-7.468000 
-132.000000	0.693618  	0.752750  	-7.468000 
-131.000000	0.680441  	0.777346  	-7.468000 
-130.000000	0.667265  	0.801941  	-7.468000 
-129.000000	0.654088  	0.826537  	-7.468000 
-128.000000	0.640122  	0.850402  	-7.468000 
-127.000000	0.626025  	0.874146  	-7.468000 
-126.000000	0.611928  	0.897890  	-7.468000 
-125.000000	0.597831  	0.921634  	-7.468000 
-124.000000	0.583734  	0.945378  	-7.468000 
-123.000000	0.568553  	0.967599  	-7.468000 
-122.000000	0.553372  	0.989820  	-7.468000 
-121.000000	0.538191  	1.012041  	-7.468000 
-120.000000	0.523010  	1.034261  	-7.468000 
-119.000000	0.507677  	1.056175  	-7.468000 
-118.000000	0.491426  	1.076245  	-7.468000 
-117.000000	0.475176  	1.096314  	-7.468000 
-116.000000	0.458925  	1.116384  	-7.468000 
-115.000000	0.442674  	1.136454  	-7.468000 
-114.000000	0.426161  	1.155748  	-7.468000 
-113.000000	0.408992  	1.173101  	-7.468000 
-112.000000	0.391822  	1.190455  	-7.468000 
-111.000000	0.374652  	1.207808  	-7.468000 
-110.000000	0.357483  	1.225162  	-7.468000 
-109.000000	0.340030  	1.241142  	-7.468000 
-108.000000	0.322199  	1.255292  	-7.468000 
-107.000000	0.304368  	1.269442  	-7.468000 
-106.000000	0.286537  	1.283592  	-7.468000 
-105.000000	0.268706  	1.297742  	-7.468000 
-104.000000	0.250692  	1.309836  	-7.468000 
-103.000000	0.232540  	1.320387  	-7.468000 
-102.000000	0.214389  	1.330939  	-7.468000 
-101.000000	0.196238  	1.341490  	-7.468000 
-100.000000	0.178086  	1.352042  	-7.468000 
-99.000000	0.159996  	1.359815  	-7.468000 
-98.000000	0.141929  	1.366476  	-7.468000 
-97.000000	0.123863  	1.373138  	-7.468000 
-96.000000	0.105796  	1.379799  	-7.468000 
-95.000000	0.087730  	1.386461  	-7.468000 
-94.000000	0.070123  	1.389634  	-7.468000 
-93.000000	0.052592  	1.392225  	-7.468000 
-92.000000	0.035061  	1.394817  	-7.468000 
-91.000000	0.017531  	1.397408  	-7.468000 
-90.000000	0.000000  	1.400000  	-7.468000 
-89.000000	-0.017531 	1.397408  	-7.468000 
-88.000000	-0.035061 	1.394817  	-7.468000 
-87.000000	-0.052592 	1.392225  	-7.468000 
-86.000000	-0.070123 	1.389634  	-7.468000 
-85.000000	-0.087730 	1.386461  	-7.468000 
-84.000000	-0.105796 	1.379799  	-7.468000 
-83.000000	-0.123863 	1.373138  	-7.468000 
-82.000000	-0.141929 	1.366476  	-7.468000 
-81.000000	-0.159996 	1.359815  	-7.468000 
-80.000000	-0.178086 	1.352042  	-7.468000 
-79.000000	-0.196238 	1.341490  	-7.468000 
-78.000000	-0.214389 	1.330939  	-7.468000 
-77.000000	-0.232540 	1.320387  	-7.468000 
-76.000000	-0.250692 	1.309836  	-7.468000 
-75.000000	-0.268706 	1.297742  	-7.468000 
-74.000000	-0.286537 	1.283592  	-7.468000 
-73.000000	-0.304368 	1.269442  	-7.468000 
-72.000000	-0.322199 	1.255292  	-7.468000 
-71.000000	-0.340030 	1.241142  	-7.468000 
-70.000000	-0.357483 	1.225162  	-7.468000 
-69.000000	-0.374652 	1.207808  	-7.468000 
-68.000000	-0.391822 	1.190455  	-7.468000 
-67.000000	-0.408992 	1.173101  	-7.468000 
-66.000000	-0.426161 	1.155748  	-7.468000 
-65.000000	-0.442674 	1.136454  	-7.468000 
-64.000000	-0.458925 	1.116384  	-7.468000 
-63.000000	-0.475176 	1.096314  	-7.468000 
-62.000000	-0.491426 	1.076245  	-7.468000 
-61.000000	-0.507677 	1.056175  	-7.468000 
-60.000000	-0.523010 	1.034261  	-7.468000 
-59.000000	-0.538191 	1.012041  	-7.468000 
-58.000000	-0.553372 	0.989820  	-7.468000 
-57.000000	-0.568553 	0.967599  	-7.468000 
-56.000000	-0.583734 	0.945378  	-7.468000 
-55.000000	-0.597831 	0.921634  	-7.468000 
-54.000000	-0.611928 	0.897890  	-7.468000 
-53.000000	-0.626025 	0.874146  	-7.468000 
-52.000000	-0.640122 	0.850402  	-7.468000 
-51.000000	-0.654088 	0.826537  	-7.468000 
-50.000000	-0.667265 	0.801941  	-7.468000 
-49.000000	-0.680441 	0.777346  	-7.468000 
-48.000000	-0.693618 	0.752750  	-7.468000 
-47.000000	-0.706795 	0.728155  	-7.468000 
-46.000000	-0.719824 	0.703515  	-7.468000 
-45.000000	-0.732486 	0.678765  	-7.468000 
-44.000000	-0.745147 	0.654015  	-7.468000 
-43.000000	-0.757808 	0.629265  	-7.468000 
-42.000000	-0.770469 	0.604515  	-7.468000 
-41.000000	-0.783234 	0.579999  	-7.468000 
-40.000000	-0.796135 	0.555796  	-7.468000 
-39.000000	-0.809036 	0.531593  	-7.468000 
-38.000000	-0.821938 	0.507391  	-7.468000 
-37.000000	-0.834839 	0.483188  	-7.468000 
-36.000000	-0.848627 	0.459690  	-7.468000 
-35.000000	-0.863080 	0.436722  	-7.468000 
-34.000000	-0.877533 	0.413753  	-7.468000 
-33.000000	-0.891986 	0.390784  	-7.468000 
-32.000000	-0.906440 	0.367816  	-7.468000 
-31.000000	-0.923640 	0.346195  	-7.468000 
-30.000000	-0.941940 	0.325113  	-7.468000 
-29.000000	-0.960240 	0.304031  	-7.468000 
-28.000000	-0.978539 	0.282949  	-7.468000 
-27.000000	-0.996839 	0.261867  	-7.468000 
-26.000000	-1.022097 	0.242915  	-7.468000 
-25.000000	-1.048515 	0.224319  	-7.468000 
-24.000000	-1.074934 	0.205723  	-7.468000 
-23.000000	-1.101352 	0.187126  	-7.468000 
-22.000000	-1.127770 	0.168530  	-7.468000 
-21.000000	-1.093289 	0.157196  	-7.468000 
-20.000000	-1.058808 	0.145862  	-7.468000 
-19.000000	-1.024328 	0.134528  	-7.468000 
-18.000000	-0.989847 	0.123193  	-7.468000 
-17.000000	-0.955366 	0.111859  	-7.468000 
-16.000000	-0.920885 	0.100525  	-7.468000 
-15.000000	-0.886404 	0.089191  	-7.468000 
-14.000000	-0.851923 	0.077857  	-7.468000 
-13.000000	-0.817442 	0.066523  	-7.468000 
-12.000000	-0.782962 	0.055188  	-7.468000 
-11.000000	-0.748481 	0.043854  	-6.332333 
-10.000000	-0.714000 	0.032520  	-4.742400 
-9.000000 	-0.564500 	0.026230  	-4.007600 
-8.000000 	-0.397700 	0.020740  	-3.225300 
-7.000000 	-0.223600 	0.014650  	-2.493500 
-6.000000 	-0.095000 	0.014730  	-1.841100 
-5.000000 	0.026700  	0.015490  	-1.281100 
-4.000000 	0.144300  	0.016400  	-0.814100 
-3.000000 	0.262900  	0.016980  	-0.734800 
-2.000000 	0.382400  	0.017500  	-0.806800 
-1.000000 	0.501000  	0.018055  	-0.884550 
0.000000  	0.619600  	0.018610  	-0.962300 
1.000000  	0.736100  	0.019220  	-1.047700 
