! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  94           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
0.99720667 0.08059925
0.97394182 0.08673010
0.95080265 0.09243267
0.92759712 0.09785492
0.90438096 0.10323610
0.88116722 0.10862649
0.85795347 0.11402118
0.83473690 0.11940723
0.81151485 0.12477087
0.78828470 0.13009833
0.76504378 0.13537583
0.74178944 0.14058962
0.71851896 0.14572589
0.69522950 0.15077035
0.67191812 0.15570846
0.64858130 0.16052302
0.62521474 0.16519283
0.60181421 0.16969624
0.57835961 0.17400588
0.55483889 0.17807700
0.53125960 0.18185902
0.50762877 0.18529710
0.48395361 0.18833517
0.46024195 0.19091774
0.43650259 0.19299608
0.41274524 0.19454160
0.38897772 0.19552978
0.36520473 0.19594363
0.34142855 0.19579786
0.31765274 0.19486920
0.29389871 0.19302451
0.27023750 0.19013131
0.24674098 0.18611781
0.22347081 0.18098259
0.20048447 0.17472726
0.17784060 0.16733826
0.15560184 0.15878062
0.13380758 0.14899021
0.11261245 0.13793644
0.09220504 0.12558153
0.07278032 0.11185333
0.05454213 0.09665498
0.03774535 0.07983732
0.02279471 0.06115761
0.01055534 0.04071230
0.00218992 0.01857986
0.00002415 -0.00482210
0.00529265 -0.02793144
0.01549371 -0.04971167
0.02873660 -0.06947041
0.04411998 -0.08747844
0.06118002 -0.10398121
0.07958556 -0.11914251
0.09908984 -0.13302150
0.11946633 -0.14560282
0.14049045 -0.15686649
0.16212535 -0.16686509
0.18431098 -0.17557301
0.20697352 -0.18293734
0.23004116 -0.18888976
0.25343399 -0.19337846
0.27706522 -0.19638611
0.30081124 -0.19791359
0.32460356 -0.19807501
0.34840190 -0.19710045
0.37217435 -0.19517439
0.39588896 -0.19247613
0.41949740 -0.18907171
0.44296226 -0.18502060
0.46629637 -0.18037520
0.48951428 -0.17518520
0.51262719 -0.16950235
0.53564815 -0.16339644
0.55859171 -0.15694437
0.58147273 -0.15022330
0.60430780 -0.14331504
0.62711927 -0.13631628
0.64993217 -0.12932782
0.67277534 -0.12246111
0.69567864 -0.11583337
0.71867526 -0.10956074
0.74181303 -0.10375794
0.76509280 -0.09856118
0.78850797 -0.09410933
0.81205085 -0.09053667
0.83571274 -0.08796371
0.85948666 -0.08653275
0.88331081 -0.08659170
0.90705959 -0.08852395
0.93060074 -0.09219714
0.95392269 -0.09708628
0.97711276 -0.10257972
0.99990629 -0.10797286
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-6.273000 
-179.000000	0.056080  	0.001000  	-6.273000 
-178.000000	0.112159  	0.001000  	-6.273000 
-177.000000	0.168239  	0.001000  	-6.273000 
-176.000000	0.224319  	0.001000  	-6.273000 
-175.000000	0.280398  	0.001000  	-6.273000 
-174.000000	0.336478  	0.001000  	-6.273000 
-173.000000	0.392558  	0.001000  	-6.273000 
-172.000000	0.448637  	0.001000  	-6.273000 
-171.000000	0.504717  	0.001000  	-6.273000 
-170.000000	0.560797  	0.001000  	-6.273000 
-169.000000	0.616876  	0.001000  	-6.273000 
-168.000000	0.672956  	0.001000  	-6.273000 
-167.000000	0.729036  	0.002267  	-6.273000 
-166.000000	0.785115  	0.004483  	-6.273000 
-165.000000	0.841195  	0.012094  	-6.273000 
-164.000000	0.897274  	0.025098  	-6.273000 
-163.000000	0.953354  	0.038759  	-6.273000 
-162.000000	1.009434  	0.053294  	-6.273000 
-161.000000	1.065513  	0.068349  	-6.273000 
-160.000000	1.121593  	0.084340  	-6.273000 
-159.000000	1.177673  	0.100723  	-6.273000 
-158.000000	1.233752  	0.118088  	-6.273000 
-157.000000	1.289832  	0.135728  	-6.273000 
-156.000000	1.345912  	0.154379  	-6.273000 
-155.000000	1.401991  	0.173199  	-6.273000 
-154.000000	1.458071  	0.193040  	-6.273000 
-153.000000	1.514151  	0.212959  	-6.273000 
-152.000000	1.570230  	0.233890  	-6.273000 
-151.000000	1.626310  	0.254820  	-6.273000 
-150.000000	1.579810  	0.277211  	-6.273000 
-149.000000	1.533309  	0.299603  	-6.273000 
-148.000000	1.486809  	0.321994  	-6.273000 
-147.000000	1.440308  	0.344386  	-6.273000 
-146.000000	1.399436  	0.367780  	-6.273000 
-145.000000	1.361690  	0.391732  	-6.273000 
-144.000000	1.323944  	0.415684  	-6.273000 
-143.000000	1.286198  	0.439636  	-6.273000 
-142.000000	1.250006  	0.463880  	-6.273000 
-141.000000	1.217700  	0.488854  	-6.273000 
-140.000000	1.185395  	0.513828  	-6.273000 
-139.000000	1.153089  	0.538802  	-6.273000 
-138.000000	1.120783  	0.563776  	-6.273000 
-137.000000	1.091640  	0.589179  	-6.273000 
-136.000000	1.062740  	0.614615  	-6.273000 
-135.000000	1.033840  	0.640051  	-6.273000 
-134.000000	1.004940  	0.665488  	-6.273000 
-133.000000	0.977257  	0.690862  	-6.273000 
-132.000000	0.950486  	0.716191  	-6.273000 
-131.000000	0.923715  	0.741520  	-6.273000 
-130.000000	0.896944  	0.766849  	-6.273000 
-129.000000	0.870458  	0.792034  	-6.273000 
-128.000000	0.845019  	0.816690  	-6.273000 
-127.000000	0.819580  	0.841346  	-6.273000 
-126.000000	0.794141  	0.866002  	-6.273000 
-125.000000	0.768702  	0.890658  	-6.273000 
-124.000000	0.744000  	0.914267  	-6.273000 
-123.000000	0.719421  	0.937701  	-6.273000 
-122.000000	0.694841  	0.961136  	-6.273000 
-121.000000	0.670262  	0.984570  	-6.273000 
-120.000000	0.645992  	1.007134  	-6.273000 
-119.000000	0.622032  	1.028828  	-6.273000 
-118.000000	0.598071  	1.050521  	-6.273000 
-117.000000	0.574111  	1.072214  	-6.273000 
-116.000000	0.550229  	1.093591  	-6.273000 
-115.000000	0.526816  	1.113065  	-6.273000 
-114.000000	0.503404  	1.132539  	-6.273000 
-113.000000	0.479992  	1.152012  	-6.273000 
-112.000000	0.456579  	1.171486  	-6.273000 
-111.000000	0.433645  	1.188882  	-6.273000 
-110.000000	0.410841  	1.205710  	-6.273000 
-109.000000	0.388037  	1.222539  	-6.273000 
-108.000000	0.365233  	1.239367  	-6.273000 
-107.000000	0.342759  	1.254905  	-6.273000 
-106.000000	0.320724  	1.268724  	-6.273000 
-105.000000	0.298689  	1.282542  	-6.273000 
-104.000000	0.276655  	1.296361  	-6.273000 
-103.000000	0.254692  	1.309943  	-6.273000 
-102.000000	0.233667  	1.320457  	-6.273000 
-101.000000	0.212641  	1.330972  	-6.273000 
-100.000000	0.191616  	1.341486  	-6.273000 
-99.000000	0.170590  	1.352000  	-6.273000 
-98.000000	0.150501  	1.359999  	-6.273000 
-97.000000	0.130785  	1.366991  	-6.273000 
-96.000000	0.111070  	1.373983  	-6.273000 
-95.000000	0.091355  	1.380976  	-6.273000 
-94.000000	0.072231  	1.386662  	-6.273000 
-93.000000	0.054173  	1.389996  	-6.273000 
-92.000000	0.036116  	1.393331  	-6.273000 
-91.000000	0.018058  	1.396665  	-6.273000 
-90.000000	0.000000  	1.400000  	-6.273000 
-89.000000	-0.018058 	1.396665  	-6.273000 
-88.000000	-0.036116 	1.393331  	-6.273000 
-87.000000	-0.054173 	1.389996  	-6.273000 
-86.000000	-0.072231 	1.386662  	-6.273000 
-85.000000	-0.091355 	1.380976  	-6.273000 
-84.000000	-0.111070 	1.373983  	-6.273000 
-83.000000	-0.130785 	1.366991  	-6.273000 
-82.000000	-0.150501 	1.359999  	-6.273000 
-81.000000	-0.170590 	1.352000  	-6.273000 
-80.000000	-0.191616 	1.341486  	-6.273000 
-79.000000	-0.212641 	1.330972  	-6.273000 
-78.000000	-0.233667 	1.320457  	-6.273000 
-77.000000	-0.254692 	1.309943  	-6.273000 
-76.000000	-0.276655 	1.296361  	-6.273000 
-75.000000	-0.298689 	1.282542  	-6.273000 
-74.000000	-0.320724 	1.268724  	-6.273000 
-73.000000	-0.342759 	1.254905  	-6.273000 
-72.000000	-0.365233 	1.239367  	-6.273000 
-71.000000	-0.388037 	1.222539  	-6.273000 
-70.000000	-0.410841 	1.205710  	-6.273000 
-69.000000	-0.433645 	1.188882  	-6.273000 
-68.000000	-0.456579 	1.171486  	-6.273000 
-67.000000	-0.479992 	1.152012  	-6.273000 
-66.000000	-0.503404 	1.132539  	-6.273000 
-65.000000	-0.526816 	1.113065  	-6.273000 
-64.000000	-0.550229 	1.093591  	-6.273000 
-63.000000	-0.574111 	1.072214  	-6.273000 
-62.000000	-0.598071 	1.050521  	-6.273000 
-61.000000	-0.622032 	1.028828  	-6.273000 
-60.000000	-0.645992 	1.007134  	-6.273000 
-59.000000	-0.670262 	0.984570  	-6.273000 
-58.000000	-0.694841 	0.961136  	-6.273000 
-57.000000	-0.719421 	0.937701  	-6.273000 
-56.000000	-0.744000 	0.914267  	-6.273000 
-55.000000	-0.768702 	0.890658  	-6.273000 
-54.000000	-0.794141 	0.866002  	-6.273000 
-53.000000	-0.819580 	0.841346  	-6.273000 
-52.000000	-0.845019 	0.816690  	-6.273000 
-51.000000	-0.870458 	0.792034  	-6.273000 
-50.000000	-0.896944 	0.766849  	-6.273000 
-49.000000	-0.923715 	0.741520  	-6.273000 
-48.000000	-0.950486 	0.716191  	-6.273000 
-47.000000	-0.977257 	0.690862  	-6.273000 
-46.000000	-1.004940 	0.665488  	-6.273000 
-45.000000	-1.033840 	0.640051  	-6.273000 
-44.000000	-1.062740 	0.614615  	-6.273000 
-43.000000	-1.091640 	0.589179  	-6.273000 
-42.000000	-1.120783 	0.563776  	-6.273000 
-41.000000	-1.153089 	0.538802  	-6.273000 
-40.000000	-1.185395 	0.513828  	-6.273000 
-39.000000	-1.217700 	0.488854  	-6.273000 
-38.000000	-1.250006 	0.463880  	-6.273000 
-37.000000	-1.286198 	0.439636  	-6.273000 
-36.000000	-1.323944 	0.415684  	-6.273000 
-35.000000	-1.361690 	0.391732  	-6.273000 
-34.000000	-1.399436 	0.367780  	-6.273000 
-33.000000	-1.440308 	0.344386  	-6.273000 
-32.000000	-1.486809 	0.321994  	-6.273000 
-31.000000	-1.533309 	0.299603  	-6.273000 
-30.000000	-1.579810 	0.277211  	-6.273000 
-29.000000	-1.626310 	0.254820  	-6.273000 
-28.000000	-1.550678 	0.249063  	-6.273000 
-27.000000	-1.475046 	0.243305  	-6.273000 
-26.000000	-1.399414 	0.237548  	-6.273000 
-25.000000	-1.323782 	0.231791  	-6.273000 
-24.000000	-1.248149 	0.226033  	-6.273000 
-23.000000	-1.172517 	0.220276  	-6.273000 
-22.000000	-1.096885 	0.214518  	-6.273000 
-21.000000	-1.021253 	0.208761  	-6.273000 
-20.000000	-0.945621 	0.203004  	-6.273000 
-19.000000	-0.869989 	0.197246  	-6.273000 
-18.000000	-0.794357 	0.191489  	-6.273000 
-17.000000	-0.718725 	0.185732  	-6.273000 
-16.000000	-0.643093 	0.179974  	-6.273000 
-15.000000	-0.567461 	0.174217  	-6.273000 
-14.000000	-0.491828 	0.168459  	-6.273000 
-13.000000	-0.416196 	0.162702  	-6.273000 
-12.000000	-0.340564 	0.156945  	-4.924921 
-11.000000	-0.264932 	0.151187  	-3.037611 
-10.000000	-0.189300 	0.145430  	-1.150300 
-9.000000 	-0.139100 	0.137310  	-1.127900 
-8.000000 	-0.089900 	0.128880  	-1.109700 
-7.000000 	-0.117300 	0.110250  	-1.237900 
-6.000000 	-0.039000 	0.103250  	-1.179300 
-5.000000 	-0.087800 	0.072830  	-1.423800 
-4.000000 	0.055800  	0.061760  	-1.379300 
-3.000000 	0.297000  	0.049070  	-1.309700 
-2.000000 	0.426300  	0.049470  	-1.404100 
-1.000000 	0.583900  	0.048550  	-1.534300 
0.000000  	0.736000  	0.048290  	-1.667000 
1.000000  	0.883200  	0.048560  	-1.801300 
2.000000  	1.010300  	0.049370  	-1.927000 
3.000000  	1.147800  	0.050100  	-2.064100 
4.000000  	1.284400  	0.050940  	-2.206200 
