! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0013399 -0.0000011
0.9810317 0.0052950
0.9607507 0.0107112
0.9403691 0.0157123
0.9197962 0.0198639
0.8990097 0.0227269
0.8780621 0.0239441
0.8570821 0.0236078
0.8361553 0.0220708
0.8153161 0.0195444
0.7946068 0.0161343
0.7740444 0.0119389
0.7536285 0.0070651
0.7333598 0.0016154
0.7132297 -0.0043049
0.6932130 -0.0106011
0.6732827 -0.0171805
0.6534133 -0.0239559
0.6335810 -0.0308439
0.6137641 -0.0377674
0.5939339 -0.0446522
0.5740652 -0.0514298
0.5541399 -0.0580340
0.5341421 -0.0644038
0.5140556 -0.0704771
0.4938669 -0.0762022
0.4735636 -0.0815291
0.4531427 -0.0864040
0.4326118 -0.0907835
0.4119784 -0.0946258
0.3912502 -0.0978865
0.3704358 -0.1005313
0.3495428 -0.1025194
0.3285879 -0.1038006
0.3076002 -0.1043075
0.2866127 -0.1040390
0.2656591 -0.1029195
0.2447744 -0.1009232
0.2239881 -0.0980535
0.2033362 -0.0943182
0.1828565 -0.0897297
0.1625804 -0.0843103
0.1425418 -0.0780666
0.1227819 -0.0709939
0.1033536 -0.0630609
0.0843220 -0.0541956
0.0658085 -0.0443015
0.0480089 -0.0332110
0.0312158 -0.0206276
0.0160715 -0.0061317
0.0039549 0.0109487
-0.0013306 0.0310231
0.0050175 0.0507970
0.0176762 0.0674584
0.0331987 0.0815842
0.0503175 0.0937137
0.0684574 0.1042607
0.0872963 0.1135080
0.1066346 0.1216490
0.1263552 0.1288318
0.1463662 0.1351714
0.1665961 0.1407566
0.1870040 0.1456568
0.2075540 0.1499282
0.2282160 0.1536060
0.2489689 0.1567202
0.2697973 0.1592905
0.2906874 0.1613244
0.3116241 0.1628331
0.3325918 0.1638215
0.3535745 0.1642766
0.3745595 0.1642429
0.3955373 0.1636663
0.4164982 0.1625940
0.4374309 0.1610319
0.4583241 0.1589991
0.4791670 0.1565214
0.4999533 0.1536359
0.5206861 0.1503891
0.5413687 0.1468234
0.5620052 0.1429846
0.5825994 0.1389168
0.6031527 0.1346531
0.6236692 0.1302267
0.6441542 0.1256576
0.6646110 0.1209629
0.6850426 0.1161582
0.7054516 0.1112567
0.7258397 0.1062694
0.7462095 0.1012093
0.7665636 0.0960869
0.7869037 0.0909093
0.8072335 0.0856910
0.8275550 0.0804400
0.8478705 0.0751657
0.8681825 0.0698781
0.8884924 0.0645828
0.9088022 0.0592874
0.9291096 0.0539823
0.9494055 0.0486330
0.9694742 0.0425267
0.9856694 0.0296897
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	0.000000  
-179.000000	0.046698  	0.001000  	0.040000  
-178.000000	0.093397  	0.001000  	0.080000  
-177.000000	0.140095  	0.001000  	0.120000  
-176.000000	0.186794  	0.001000  	0.160000  
-175.000000	0.233492  	0.001000  	0.200000  
-174.000000	0.280190  	0.001000  	0.240000  
-173.000000	0.326889  	0.001000  	0.280000  
-172.000000	0.373587  	0.001000  	0.320000  
-171.000000	0.420286  	0.001020  	0.359335  
-170.000000	0.466984  	0.001300  	0.390032  
-169.000000	0.513682  	0.004300  	0.416742  
-168.000000	0.560381  	0.014097  	0.433483  
-167.000000	0.607079  	0.024597  	0.450225  
-166.000000	0.653778  	0.035800  	0.466967  
-165.000000	0.700476  	0.047976  	0.483709  
-164.000000	0.747174  	0.060541  	0.500450  
-163.000000	0.793873  	0.074326  	0.517192  
-162.000000	0.840571  	0.088386  	0.533934  
-161.000000	0.887270  	0.103526  	0.550676  
-160.000000	0.933968  	0.119095  	0.561722  
-159.000000	0.980666  	0.135439  	0.562515  
-158.000000	1.027365  	0.152433  	0.561030  
-157.000000	1.074063  	0.169917  	0.557837  
-156.000000	1.120762  	0.188243  	0.554643  
-155.000000	1.167460  	0.206800  	0.551449  
-154.000000	1.140804  	0.227088  	0.548256  
-153.000000	1.114148  	0.247377  	0.545062  
-152.000000	1.087492  	0.267665  	0.541869  
-151.000000	1.060835  	0.287953  	0.538675  
-150.000000	1.036493  	0.308983  	0.534207  
-149.000000	1.016316  	0.331348  	0.527444  
-148.000000	0.996139  	0.353713  	0.520682  
-147.000000	0.975962  	0.376078  	0.513919  
-146.000000	0.955785  	0.398443  	0.507156  
-145.000000	0.937948  	0.421879  	0.500181  
-144.000000	0.921046  	0.445744  	0.493121  
-143.000000	0.904145  	0.469608  	0.486061  
-142.000000	0.887244  	0.493473  	0.479001  
-141.000000	0.870446  	0.517400  	0.472244  
-140.000000	0.854985  	0.542148  	0.469425  
-139.000000	0.839524  	0.566896  	0.466605  
-138.000000	0.824063  	0.591644  	0.463786  
-137.000000	0.808603  	0.616393  	0.460966  
-136.000000	0.793291  	0.641246  	0.458692  
-135.000000	0.778179  	0.666240  	0.457145  
-134.000000	0.763068  	0.691234  	0.455598  
-133.000000	0.747956  	0.716228  	0.454051  
-132.000000	0.732844  	0.741221  	0.452504  
-131.000000	0.717502  	0.765903  	0.451950  
-130.000000	0.702097  	0.790500  	0.451667  
-129.000000	0.686692  	0.815096  	0.451384  
-128.000000	0.671287  	0.839692  	0.451102  
-127.000000	0.655790  	0.864142  	0.450932  
-126.000000	0.639746  	0.887709  	0.451439  
-125.000000	0.623703  	0.911276  	0.451946  
-124.000000	0.607659  	0.934843  	0.452454  
-123.000000	0.591615  	0.958410  	0.452961  
-122.000000	0.575183  	0.981160  	0.453550  
-121.000000	0.558364  	1.003093  	0.454220  
-120.000000	0.541545  	1.025026  	0.454890  
-119.000000	0.524726  	1.046960  	0.455561  
-118.000000	0.507907  	1.068893  	0.456231  
-117.000000	0.490441  	1.088945  	0.457064  
-116.000000	0.472867  	1.108684  	0.457924  
-115.000000	0.455293  	1.128423  	0.458784  
-114.000000	0.437720  	1.148162  	0.459644  
-113.000000	0.420014  	1.167323  	0.460458  
-112.000000	0.401828  	1.184365  	0.461101  
-111.000000	0.383641  	1.201407  	0.461744  
-110.000000	0.365455  	1.218449  	0.462387  
-109.000000	0.347268  	1.235491  	0.463030  
-108.000000	0.328867  	1.250745  	0.463394  
-107.000000	0.310304  	1.264659  	0.463549  
-106.000000	0.291742  	1.278573  	0.463704  
-105.000000	0.273179  	1.292487  	0.463859  
-104.000000	0.254617  	1.306400  	0.464013  
-103.000000	0.235995  	1.317085  	0.463972  
-102.000000	0.217368  	1.327522  	0.463916  
-101.000000	0.198742  	1.337958  	0.463860  
-100.000000	0.180115  	1.348395  	0.463804  
-99.000000	0.161576  	1.357764  	0.463417  
-98.000000	0.143254  	1.364466  	0.462202  
-97.000000	0.124932  	1.371168  	0.460987  
-96.000000	0.106610  	1.377869  	0.459772  
-95.000000	0.088288  	1.384571  	0.458557  
-94.000000	0.070426  	1.388769  	0.457342  
-93.000000	0.052819  	1.391577  	0.456128  
-92.000000	0.035213  	1.394385  	0.454913  
-91.000000	0.017606  	1.397192  	0.453698  
-90.000000	0.000000  	1.400000  	0.452483  
-89.000000	-0.017606 	1.397192  	0.449227  
-88.000000	-0.035213 	1.394385  	0.445971  
-87.000000	-0.052819 	1.391577  	0.442716  
-86.000000	-0.070426 	1.388769  	0.439460  
-85.000000	-0.088288 	1.384571  	0.436204  
-84.000000	-0.106610 	1.377869  	0.432949  
-83.000000	-0.124932 	1.371168  	0.429693  
-82.000000	-0.143254 	1.364466  	0.426437  
-81.000000	-0.161576 	1.357764  	0.423182  
-80.000000	-0.180115 	1.348395  	0.419291  
-79.000000	-0.198742 	1.337958  	0.415146  
-78.000000	-0.217368 	1.327522  	0.411001  
-77.000000	-0.235995 	1.317085  	0.406856  
-76.000000	-0.254617 	1.306400  	0.402700  
-75.000000	-0.273179 	1.292487  	0.398393  
-74.000000	-0.291742 	1.278573  	0.394087  
-73.000000	-0.310304 	1.264659  	0.389780  
-72.000000	-0.328867 	1.250745  	0.385474  
-71.000000	-0.347268 	1.235491  	0.381046  
-70.000000	-0.365455 	1.218449  	0.376457  
-69.000000	-0.383641 	1.201407  	0.371868  
-68.000000	-0.401828 	1.184365  	0.367280  
-67.000000	-0.420014 	1.167323  	0.362691  
-66.000000	-0.437720 	1.148162  	0.358003  
-65.000000	-0.455293 	1.128423  	0.353289  
-64.000000	-0.472867 	1.108684  	0.348575  
-63.000000	-0.490441 	1.088945  	0.343860  
-62.000000	-0.507907 	1.068893  	0.339157  
-61.000000	-0.524726 	1.046960  	0.334518  
-60.000000	-0.541545 	1.025026  	0.329880  
-59.000000	-0.558364 	1.003093  	0.325242  
-58.000000	-0.575183 	0.981160  	0.320603  
-57.000000	-0.591615 	0.958410  	0.315997  
-56.000000	-0.607659 	0.934843  	0.311424  
-55.000000	-0.623703 	0.911276  	0.306851  
-54.000000	-0.639746 	0.887709  	0.302277  
-53.000000	-0.655790 	0.864142  	0.297704  
-52.000000	-0.671287 	0.839692  	0.293248  
-51.000000	-0.686692 	0.815096  	0.288811  
-50.000000	-0.702097 	0.790500  	0.284375  
-49.000000	-0.717502 	0.765903  	0.279938  
-48.000000	-0.732844 	0.741221  	0.275548  
-47.000000	-0.747956 	0.716228  	0.271331  
-46.000000	-0.763068 	0.691234  	0.267113  
-45.000000	-0.778179 	0.666240  	0.262895  
-44.000000	-0.793291 	0.641246  	0.258677  
-43.000000	-0.808603 	0.616393  	0.254405  
-42.000000	-0.824063 	0.591644  	0.250093  
-41.000000	-0.839524 	0.566896  	0.245781  
-40.000000	-0.854985 	0.542148  	0.241469  
-39.000000	-0.870446 	0.517400  	0.237157  
-38.000000	-0.887244 	0.493473  	0.232553  
-37.000000	-0.904145 	0.469608  	0.227927  
-36.000000	-0.921046 	0.445744  	0.223301  
-35.000000	-0.937948 	0.421879  	0.218675  
-34.000000	-0.955785 	0.398443  	0.213935  
-33.000000	-0.975962 	0.376078  	0.208909  
-32.000000	-0.996139 	0.353713  	0.203884  
-31.000000	-1.016316 	0.331348  	0.198858  
-30.000000	-1.036493 	0.308983  	0.193833  
-29.000000	-1.060835 	0.287953  	0.185727  
-28.000000	-1.087492 	0.267665  	0.175910  
-27.000000	-1.114148 	0.247377  	0.166092  
-26.000000	-1.140804 	0.227088  	0.156275  
-25.000000	-1.167460 	0.206800  	0.146458  
-24.000000	-1.095800 	0.198431  	0.136641  
-23.000000	-1.024140 	0.190063  	0.126823  
-22.000000	-0.952480 	0.181694  	0.117006  
-21.000000	-0.880820 	0.173325  	0.107189  
-20.000000	-0.809160 	0.164956  	0.099351  
-19.000000	-0.737500 	0.156588  	0.094946  
-18.000000	-0.665840 	0.148219  	0.092521  
-17.000000	-0.594180 	0.139850  	0.090095  
-16.000000	-0.522520 	0.131481  	0.087670  
-15.000000	-0.450860 	0.123113  	0.085244  
-14.000000	-0.379200 	0.114744  	0.082819  
-13.000000	-0.307540 	0.106375  	0.080394  
-12.000000	-0.235880 	0.098006  	0.077968  
-11.000000	-0.164220 	0.089637  	0.053969  
-10.000000	-0.092560 	0.081269  	-0.023966 
-9.000000 	-0.020900 	0.072900  	-0.101900 
-8.000000 	0.065200  	0.069300  	-0.104300 
-7.000000 	0.124050  	0.064600  	-0.104550 
-6.000000 	0.182900  	0.059900  	-0.104800 
-5.000000 	0.227700  	0.054450  	-0.104300 
-4.000000 	0.269300  	0.049690  	-0.102000 
-3.000000 	0.325050  	0.045820  	-0.101550 
-2.000000 	0.380800  	0.041950  	-0.101100 
-1.000000 	0.480100  	0.039235  	-0.106700 
0.000000  	0.579400  	0.036520  	-0.112300 
1.000000  	0.700700  	0.034710  	-0.120500 
2.000000  	0.828400  	0.033490  	-0.128800 
3.000000  	0.960000  	0.032590  	-0.137100 
4.000000  	1.091800  	0.031870  	-0.144800 
5.000000  	1.214700  	0.031280  	-0.150400 
6.000000  	1.337500  	0.030660  	-0.155500 
7.000000  	1.448300  	0.030160  	-0.158100 
