! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0013118 -0.0458323
0.9807764 -0.0411442
0.9602629 -0.0363462
0.9396695 -0.0319257
0.9189225 -0.0282871
0.8980068 -0.0258275
0.8769697 -0.0248405
0.8559130 -0.0252191
0.8349010 -0.0266475
0.8139599 -0.0289468
0.7931226 -0.0320298
0.7724013 -0.0358059
0.7517960 -0.0401844
0.7313065 -0.0450728
0.7109265 -0.0503813
0.6906347 -0.0560199
0.6704097 -0.0619066
0.6502309 -0.0679621
0.6300783 -0.0741086
0.6099335 -0.0802727
0.5897735 -0.0863876
0.5695781 -0.0923889
0.5493334 -0.0982163
0.5290264 -0.1038118
0.5086456 -0.1091217
0.4881811 -0.1141000
0.4676237 -0.1187011
0.4469734 -0.1228816
0.4262370 -0.1266035
0.4054214 -0.1298287
0.3845341 -0.1325226
0.3635827 -0.1346516
0.3425740 -0.1361704
0.3215243 -0.1369963
0.3004623 -0.1370545
0.2794166 -0.1362273
0.2584253 -0.1344803
0.2375354 -0.1317877
0.2167889 -0.1281543
0.1962267 -0.1235890
0.1758873 -0.1181154
0.1558091 -0.1117495
0.1360319 -0.1044979
0.1166082 -0.0963506
0.0976039 -0.0872740
0.0791005 -0.0771938
0.0612434 -0.0660159
0.0442570 -0.0535895
0.0284644 -0.0396591
0.0145153 -0.0239068
0.0036327 -0.0059183
-0.0013154 0.0144043
0.0035344 0.0347246
0.0145716 0.0525932
0.0287465 0.0681689
0.0447978 0.0817949
0.0620941 0.0938066
0.0802689 0.1044489
0.0990844 0.1139022
0.1183965 0.1223112
0.1380959 0.1297786
0.1580939 0.1363885
0.1783367 0.1422108
0.1987789 0.1472954
0.2193799 0.1516753
0.2401102 0.1553819
0.2609495 0.1584309
0.2818768 0.1608366
0.3028700 0.1626133
0.3239054 0.1637882
0.3449602 0.1644222
0.3660218 0.1645429
0.3870817 0.1642343
0.4081323 0.1634751
0.4291649 0.1622849
0.4501706 0.1606799
0.4711406 0.1586780
0.4920690 0.1563076
0.5129572 0.1536072
0.5338065 0.1506082
0.5546194 0.1473518
0.5753979 0.1438754
0.5961437 0.1402142
0.6168591 0.1363950
0.6375491 0.1324413
0.6582165 0.1283701
0.6788633 0.1241944
0.6994918 0.1199275
0.7201040 0.1155828
0.7407009 0.1111681
0.7612851 0.1066947
0.7818588 0.1021730
0.8024233 0.0976092
0.8229812 0.0930160
0.8435339 0.0883989
0.8640836 0.0837691
0.8846316 0.0791317
0.9051796 0.0744942
0.9257266 0.0698525
0.9462671 0.0651823
0.9667366 0.0602172
0.9856430 0.0512934
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-7.324900 
-179.000000	0.051253  	0.001000  	-7.324900 
-178.000000	0.102506  	0.001000  	-7.324900 
-177.000000	0.153759  	0.001000  	-7.324900 
-176.000000	0.205012  	0.001000  	-7.324900 
-175.000000	0.256265  	0.001000  	-7.324900 
-174.000000	0.307518  	0.001000  	-7.324900 
-173.000000	0.358771  	0.001000  	-7.324900 
-172.000000	0.410024  	0.001000  	-7.324900 
-171.000000	0.461277  	0.001000  	-7.324900 
-170.000000	0.512530  	0.003012  	-7.324900 
-169.000000	0.563783  	0.008646  	-7.324900 
-168.000000	0.615036  	0.016376  	-7.324900 
-167.000000	0.666289  	0.026900  	-7.324900 
-166.000000	0.717541  	0.038170  	-7.324900 
-165.000000	0.768794  	0.050185  	-7.324900 
-164.000000	0.820047  	0.063021  	-7.324900 
-163.000000	0.871300  	0.076474  	-7.324900 
-162.000000	0.922553  	0.090811  	-7.324900 
-161.000000	0.973806  	0.105641  	-7.324900 
-160.000000	1.025059  	0.121406  	-7.324900 
-159.000000	1.076312  	0.137547  	-7.324900 
-158.000000	1.127565  	0.154660  	-7.324900 
-157.000000	1.178818  	0.172039  	-7.324900 
-156.000000	1.230071  	0.190412  	-7.324900 
-155.000000	1.281324  	0.208952  	-7.324900 
-154.000000	1.332577  	0.228492  	-7.324900 
-153.000000	1.383830  	0.248110  	-7.324900 
-152.000000	1.347922  	0.269309  	-7.324900 
-151.000000	1.312014  	0.290509  	-7.324900 
-150.000000	1.276106  	0.311708  	-7.324900 
-149.000000	1.240198  	0.332908  	-7.324900 
-148.000000	1.208081  	0.355003  	-7.324900 
-147.000000	1.179753  	0.377995  	-7.324900 
-146.000000	1.151425  	0.400986  	-7.324900 
-145.000000	1.123098  	0.423978  	-7.324900 
-144.000000	1.094770  	0.446969  	-7.324900 
-143.000000	1.070753  	0.471194  	-7.324900 
-142.000000	1.046735  	0.495420  	-7.324900 
-141.000000	1.022718  	0.519645  	-7.324900 
-140.000000	0.998700  	0.543870  	-7.324900 
-139.000000	0.975867  	0.568419  	-7.324900 
-138.000000	0.954218  	0.593291  	-7.324900 
-137.000000	0.932569  	0.618163  	-7.324900 
-136.000000	0.910920  	0.643035  	-7.324900 
-135.000000	0.889271  	0.667906  	-7.324900 
-134.000000	0.868805  	0.692822  	-7.324900 
-133.000000	0.848338  	0.717738  	-7.324900 
-132.000000	0.827871  	0.742654  	-7.324900 
-131.000000	0.807404  	0.767570  	-7.324900 
-130.000000	0.787169  	0.792206  	-7.324900 
-129.000000	0.767165  	0.816563  	-7.324900 
-128.000000	0.747162  	0.840920  	-7.324900 
-127.000000	0.727158  	0.865277  	-7.324900 
-126.000000	0.707154  	0.889634  	-7.324900 
-125.000000	0.687206  	0.912844  	-7.324900 
-124.000000	0.667258  	0.936054  	-7.324900 
-123.000000	0.647311  	0.959264  	-7.324900 
-122.000000	0.627363  	0.982474  	-7.324900 
-121.000000	0.607349  	1.004830  	-7.324900 
-120.000000	0.587271  	1.026334  	-7.324900 
-119.000000	0.567192  	1.047837  	-7.324900 
-118.000000	0.547113  	1.069341  	-7.324900 
-117.000000	0.527034  	1.090844  	-7.324900 
-116.000000	0.506802  	1.110125  	-7.324900 
-115.000000	0.486569  	1.129405  	-7.324900 
-114.000000	0.466336  	1.148685  	-7.324900 
-113.000000	0.446104  	1.167966  	-7.324900 
-112.000000	0.425845  	1.185904  	-7.324900 
-111.000000	0.405561  	1.202499  	-7.324900 
-110.000000	0.385277  	1.219095  	-7.324900 
-109.000000	0.364993  	1.235691  	-7.324900 
-108.000000	0.344709  	1.252286  	-7.324900 
-107.000000	0.324574  	1.265803  	-7.324900 
-106.000000	0.304439  	1.279319  	-7.324900 
-105.000000	0.284304  	1.292835  	-7.324900 
-104.000000	0.264169  	1.306351  	-7.324900 
-103.000000	0.244247  	1.318168  	-7.324900 
-102.000000	0.224537  	1.328286  	-7.324900 
-101.000000	0.204828  	1.338404  	-7.324900 
-100.000000	0.185118  	1.348522  	-7.324900 
-99.000000	0.165409  	1.358639  	-7.324900 
-98.000000	0.146460  	1.365124  	-7.324900 
-97.000000	0.127511  	1.371609  	-7.324900 
-96.000000	0.108563  	1.378094  	-7.324900 
-95.000000	0.089614  	1.384578  	-7.324900 
-94.000000	0.071235  	1.389174  	-7.324900 
-93.000000	0.053426  	1.391881  	-7.324900 
-92.000000	0.035618  	1.394587  	-7.324900 
-91.000000	0.017809  	1.397294  	-7.324900 
-90.000000	0.000000  	1.400000  	-7.324900 
-89.000000	-0.017809 	1.397294  	-7.324900 
-88.000000	-0.035618 	1.394587  	-7.324900 
-87.000000	-0.053426 	1.391881  	-7.324900 
-86.000000	-0.071235 	1.389174  	-7.324900 
-85.000000	-0.089614 	1.384578  	-7.324900 
-84.000000	-0.108563 	1.378094  	-7.324900 
-83.000000	-0.127511 	1.371609  	-7.324900 
-82.000000	-0.146460 	1.365124  	-7.324900 
-81.000000	-0.165409 	1.358639  	-7.324900 
-80.000000	-0.185118 	1.348522  	-7.324900 
-79.000000	-0.204828 	1.338404  	-7.324900 
-78.000000	-0.224537 	1.328286  	-7.324900 
-77.000000	-0.244247 	1.318168  	-7.324900 
-76.000000	-0.264169 	1.306351  	-7.324900 
-75.000000	-0.284304 	1.292835  	-7.324900 
-74.000000	-0.304439 	1.279319  	-7.324900 
-73.000000	-0.324574 	1.265803  	-7.324900 
-72.000000	-0.344709 	1.252286  	-7.324900 
-71.000000	-0.364993 	1.235691  	-7.324900 
-70.000000	-0.385277 	1.219095  	-7.324900 
-69.000000	-0.405561 	1.202499  	-7.324900 
-68.000000	-0.425845 	1.185904  	-7.324900 
-67.000000	-0.446104 	1.167966  	-7.324900 
-66.000000	-0.466336 	1.148685  	-7.324900 
-65.000000	-0.486569 	1.129405  	-7.324900 
-64.000000	-0.506802 	1.110125  	-7.324900 
-63.000000	-0.527034 	1.090844  	-7.324900 
-62.000000	-0.547113 	1.069341  	-7.324900 
-61.000000	-0.567192 	1.047837  	-7.324900 
-60.000000	-0.587271 	1.026334  	-7.324900 
-59.000000	-0.607349 	1.004830  	-7.324900 
-58.000000	-0.627363 	0.982474  	-7.324900 
-57.000000	-0.647311 	0.959264  	-7.324900 
-56.000000	-0.667258 	0.936054  	-7.324900 
-55.000000	-0.687206 	0.912844  	-7.324900 
-54.000000	-0.707154 	0.889634  	-7.324900 
-53.000000	-0.727158 	0.865277  	-7.324900 
-52.000000	-0.747162 	0.840920  	-7.324900 
-51.000000	-0.767165 	0.816563  	-7.324900 
-50.000000	-0.787169 	0.792206  	-7.324900 
-49.000000	-0.807404 	0.767570  	-7.324900 
-48.000000	-0.827871 	0.742654  	-7.324900 
-47.000000	-0.848338 	0.717738  	-7.324900 
-46.000000	-0.868805 	0.692822  	-7.324900 
-45.000000	-0.889271 	0.667906  	-7.324900 
-44.000000	-0.910920 	0.643035  	-7.324900 
-43.000000	-0.932569 	0.618163  	-7.324900 
-42.000000	-0.954218 	0.593291  	-7.324900 
-41.000000	-0.975867 	0.568419  	-7.324900 
-40.000000	-0.998700 	0.543870  	-7.324900 
-39.000000	-1.022718 	0.519645  	-7.324900 
-38.000000	-1.046735 	0.495420  	-7.324900 
-37.000000	-1.070753 	0.471194  	-7.324900 
-36.000000	-1.094770 	0.446969  	-7.324900 
-35.000000	-1.123098 	0.423978  	-7.324900 
-34.000000	-1.151425 	0.400986  	-7.324900 
-33.000000	-1.179753 	0.377995  	-7.324900 
-32.000000	-1.208081 	0.355003  	-7.324900 
-31.000000	-1.240198 	0.332908  	-7.324900 
-30.000000	-1.276106 	0.311708  	-7.324900 
-29.000000	-1.312014 	0.290509  	-7.324900 
-28.000000	-1.347922 	0.269309  	-7.324900 
-27.000000	-1.383830 	0.248110  	-7.324900 
-26.000000	-1.324688 	0.238806  	-7.324900 
-25.000000	-1.265547 	0.229502  	-7.324900 
-24.000000	-1.206405 	0.220198  	-7.324900 
-23.000000	-1.147264 	0.210894  	-7.324900 
-22.000000	-1.088122 	0.201590  	-7.324900 
-21.000000	-1.028981 	0.192286  	-7.324900 
-20.000000	-0.969839 	0.182982  	-7.324900 
-19.000000	-0.910698 	0.173678  	-7.324900 
-18.000000	-0.851556 	0.164374  	-7.324900 
-17.000000	-0.792415 	0.155070  	-7.324900 
-16.000000	-0.733273 	0.145766  	-7.324900 
-15.000000	-0.674132 	0.136462  	-7.324900 
-14.000000	-0.614990 	0.127158  	-7.324900 
-13.000000	-0.555849 	0.117854  	-7.324900 
-12.000000	-0.496707 	0.108550  	-7.324900 
-11.000000	-0.437566 	0.099246  	-7.324900 
-10.000000	-0.378424 	0.089942  	-7.324900 
-9.000000 	-0.319283 	0.080638  	-5.496700 
-8.000000 	-0.260141 	0.071334  	-3.363800 
-7.000000 	-0.201000 	0.062030  	-1.230900 
-6.000000 	-0.125400 	0.053770  	-1.206400 
-5.000000 	-0.007200 	0.047090  	-1.147100 
-4.000000 	0.138800  	0.041950  	-1.065700 
-3.000000 	0.298900  	0.037960  	-1.003500 
-2.000000 	0.459200  	0.035590  	-1.117400 
-1.000000 	0.608700  	0.034530  	-1.231200 
0.000000  	0.754100  	0.034070  	-1.348800 
