! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  94           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
0.99140008 0.07981877
0.96851232 0.08561591
0.94547208 0.09087084
0.92240359 0.09597822
0.89932820 0.10105525
0.87625205 0.10612933
0.85317459 0.11120228
0.83009370 0.11626308
0.80700716 0.12129928
0.78391278 0.12629841
0.76080834 0.13124800
0.73769161 0.13613561
0.71456029 0.14094869
0.69141188 0.14567385
0.66824371 0.15029715
0.64505250 0.15480166
0.62183407 0.15916552
0.59858435 0.16336633
0.57528542 0.16737718
0.55192692 0.17115637
0.52851592 0.17465711
0.50505907 0.17782893
0.48156318 0.18062011
0.45803554 0.18297943
0.43448414 0.18486051
0.41091774 0.18623274
0.38734367 0.18707061
0.36376666 0.18737171
0.34018882 0.18714870
0.31661434 0.18617980
0.29306258 0.18435376
0.26959779 0.18153525
0.24628706 0.17764664
0.22318669 0.17268939
0.20034811 0.16666857
0.17782452 0.15956964
0.15567523 0.15135010
0.13393228 0.14194045
0.11274631 0.13130743
0.09230782 0.11940055
0.07281233 0.10613503
0.05445712 0.09140822
0.03751166 0.07503609
0.02239120 0.05672472
0.01006380 0.03656667
0.00186198 0.01463213
0.00046684 -0.00855288
0.00673711 -0.03118013
0.01787700 -0.05233555
0.03189753 -0.07130714
0.04792208 -0.08847606
0.06550594 -0.10411937
0.08433310 -0.11841874
0.10416993 -0.13144433
0.12479977 -0.14319192
0.14600771 -0.15365079
0.16776182 -0.16287356
0.19000746 -0.17083765
0.21267301 -0.17750212
0.23568853 -0.18281527
0.25898103 -0.18672367
0.28246842 -0.18921921
0.30603870 -0.19036523
0.32963247 -0.19015633
0.35321975 -0.18899891
0.37677884 -0.18700992
0.40027740 -0.18426518
0.42367594 -0.18085593
0.44694276 -0.17684211
0.47008932 -0.17227352
0.49312917 -0.16719763
0.51607292 -0.16166381
0.53893284 -0.15573791
0.56172253 -0.14949238
0.58445584 -0.14299993
0.60714829 -0.13633789
0.62982101 -0.12959881
0.65249770 -0.12287933
0.67520534 -0.11628575
0.69797178 -0.10992972
0.72082758 -0.10392201
0.74381531 -0.09837239
0.76693519 -0.09340883
0.79018075 -0.08916159
0.813544347 -0.085756407
0.837017076 -0.083303689
0.860591813 -0.081934481
0.884212258 -0.081985017
0.907765564 -0.083810845
0.931134399 -0.087268087
0.954308375 -0.091863695
0.97734917 -0.097099096
1.00003246 -0.10212362
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	0.000000  
-179.000000	0.054455  	0.001000  	0.040000  
-178.000000	0.108910  	0.001000  	0.080000  
-177.000000	0.163366  	0.001000  	0.120000  
-176.000000	0.217821  	0.001000  	0.160000  
-175.000000	0.272276  	0.001000  	0.200000  
-174.000000	0.326731  	0.001000  	0.240000  
-173.000000	0.381186  	0.001000  	0.280000  
-172.000000	0.435641  	0.001000  	0.320000  
-171.000000	0.490097  	0.001000  	0.357416  
-170.000000	0.544552  	0.001000  	0.393798  
-169.000000	0.599007  	0.001000  	0.419017  
-168.000000	0.653462  	0.001000  	0.438034  
-167.000000	0.707917  	0.004627  	0.457052  
-166.000000	0.762372  	0.010974  	0.476069  
-165.000000	0.816828  	0.020630  	0.495086  
-164.000000	0.871283  	0.033593  	0.514103  
-163.000000	0.925738  	0.047210  	0.533120  
-162.000000	0.980193  	0.061698  	0.552138  
-161.000000	1.034648  	0.076705  	0.569728  
-160.000000	1.089103  	0.092643  	0.584751  
-159.000000	1.143559  	0.108973  	0.597606  
-158.000000	1.198014  	0.126281  	0.605040  
-157.000000	1.252469  	0.143863  	0.612474  
-156.000000	1.306924  	0.162451  	0.619908  
-155.000000	1.361379  	0.181209  	0.627342  
-154.000000	1.415834  	0.200983  	0.634775  
-153.000000	1.470290  	0.220834  	0.642209  
-152.000000	1.524745  	0.241692  	0.649643  
-151.000000	1.579200  	0.262550  	0.657077  
-150.000000	1.534817  	0.284862  	0.646801  
-149.000000	1.490435  	0.307173  	0.636525  
-148.000000	1.446052  	0.329485  	0.626249  
-147.000000	1.401669  	0.351796  	0.615973  
-146.000000	1.362636  	0.375105  	0.602306  
-145.000000	1.326574  	0.398967  	0.586755  
-144.000000	1.290513  	0.422829  	0.571204  
-143.000000	1.254451  	0.446691  	0.555653  
-142.000000	1.219856  	0.470843  	0.541437  
-141.000000	1.188925  	0.495718  	0.530562  
-140.000000	1.157994  	0.520593  	0.519686  
-139.000000	1.127063  	0.545468  	0.508810  
-138.000000	1.096132  	0.570344  	0.497934  
-137.000000	1.068147  	0.595640  	0.491849  
-136.000000	1.040389  	0.620968  	0.486133  
-135.000000	1.012631  	0.646297  	0.480416  
-134.000000	0.984873  	0.671625  	0.474700  
-133.000000	0.958227  	0.696888  	0.469419  
-132.000000	0.932414  	0.722101  	0.464467  
-131.000000	0.906601  	0.747315  	0.459514  
-130.000000	0.880788  	0.772528  	0.454561  
-129.000000	0.855228  	0.797595  	0.450353  
-128.000000	0.830596  	0.822128  	0.448872  
-127.000000	0.805965  	0.846661  	0.447392  
-126.000000	0.781333  	0.871194  	0.445911  
-125.000000	0.756701  	0.895727  	0.444431  
-124.000000	0.732697  	0.919207  	0.442950  
-123.000000	0.708797  	0.942512  	0.441470  
-122.000000	0.684897  	0.965816  	0.439989  
-121.000000	0.660997  	0.989121  	0.438509  
-120.000000	0.637350  	1.011552  	0.437723  
-119.000000	0.613956  	1.033110  	0.437631  
-118.000000	0.590562  	1.054667  	0.437539  
-117.000000	0.567168  	1.076225  	0.437447  
-116.000000	0.543838  	1.097465  	0.437380  
-115.000000	0.520891  	1.116798  	0.437468  
-114.000000	0.497944  	1.136131  	0.437556  
-113.000000	0.474998  	1.155464  	0.437644  
-112.000000	0.452051  	1.174797  	0.437732  
-111.000000	0.429509  	1.192048  	0.437826  
-110.000000	0.407077  	1.208731  	0.437922  
-109.000000	0.384645  	1.225414  	0.438018  
-108.000000	0.362213  	1.242097  	0.438114  
-107.000000	0.340073  	1.257489  	0.438211  
-106.000000	0.318323  	1.271158  	0.438312  
-105.000000	0.296573  	1.284828  	0.438413  
-104.000000	0.274823  	1.298498  	0.438514  
-103.000000	0.253139  	1.311931  	0.438594  
-102.000000	0.232314  	1.322294  	0.438391  
-101.000000	0.211489  	1.332657  	0.438189  
-100.000000	0.190664  	1.343020  	0.437986  
-99.000000	0.169840  	1.353382  	0.437783  
-98.000000	0.149893  	1.361228  	0.437063  
-97.000000	0.130297  	1.368067  	0.436135  
-96.000000	0.110701  	1.374907  	0.435207  
-95.000000	0.091105  	1.381746  	0.434279  
-94.000000	0.072073  	1.387278  	0.433351  
-93.000000	0.054054  	1.390459  	0.432423  
-92.000000	0.036036  	1.393639  	0.431495  
-91.000000	0.018018  	1.396820  	0.430567  
-90.000000	0.000000  	1.400000  	0.429639  
-89.000000	-0.018018 	1.396820  	0.426497  
-88.000000	-0.036036 	1.393639  	0.423356  
-87.000000	-0.054054 	1.390459  	0.420214  
-86.000000	-0.072073 	1.387278  	0.417072  
-85.000000	-0.091105 	1.381746  	0.413931  
-84.000000	-0.110701 	1.374907  	0.410789  
-83.000000	-0.130297 	1.368067  	0.407647  
-82.000000	-0.149893 	1.361228  	0.404505  
-81.000000	-0.169840 	1.353382  	0.401205  
-80.000000	-0.190664 	1.343020  	0.397506  
-79.000000	-0.211489 	1.332657  	0.393807  
-78.000000	-0.232314 	1.322294  	0.390108  
-77.000000	-0.253139 	1.311931  	0.386409  
-76.000000	-0.274823 	1.298498  	0.382494  
-75.000000	-0.296573 	1.284828  	0.378562  
-74.000000	-0.318323 	1.271158  	0.374630  
-73.000000	-0.340073 	1.257489  	0.370698  
-72.000000	-0.362213 	1.242097  	0.366766  
-71.000000	-0.384645 	1.225414  	0.362835  
-70.000000	-0.407077 	1.208731  	0.358904  
-69.000000	-0.429509 	1.192048  	0.354973  
-68.000000	-0.452051 	1.174797  	0.351042  
-67.000000	-0.474998 	1.155464  	0.347112  
-66.000000	-0.497944 	1.136131  	0.343182  
-65.000000	-0.520891 	1.116798  	0.339252  
-64.000000	-0.543838 	1.097465  	0.335322  
-63.000000	-0.567168 	1.076225  	0.331452  
-62.000000	-0.590562 	1.054667  	0.327592  
-61.000000	-0.613956 	1.033110  	0.323733  
-60.000000	-0.637350 	1.011552  	0.319873  
-59.000000	-0.660997 	0.989121  	0.316284  
-58.000000	-0.684897 	0.965816  	0.312966  
-57.000000	-0.708797 	0.942512  	0.309647  
-56.000000	-0.732697 	0.919207  	0.306329  
-55.000000	-0.756701 	0.895727  	0.303011  
-54.000000	-0.781333 	0.871194  	0.299693  
-53.000000	-0.805965 	0.846661  	0.296375  
-52.000000	-0.830596 	0.822128  	0.293057  
-51.000000	-0.855228 	0.797595  	0.289738  
-50.000000	-0.880788 	0.772528  	0.286929  
-49.000000	-0.906601 	0.747315  	0.284257  
-48.000000	-0.932414 	0.722101  	0.281586  
-47.000000	-0.958227 	0.696888  	0.278915  
-46.000000	-0.984873 	0.671625  	0.276305  
-45.000000	-1.012631 	0.646297  	0.273776  
-44.000000	-1.040389 	0.620968  	0.271247  
-43.000000	-1.068147 	0.595640  	0.268718  
-42.000000	-1.096132 	0.570344  	0.266170  
-41.000000	-1.127063 	0.545468  	0.263365  
-40.000000	-1.157994 	0.520593  	0.260560  
-39.000000	-1.188925 	0.495718  	0.257755  
-38.000000	-1.219856 	0.470843  	0.254950  
-37.000000	-1.254451 	0.446691  	0.251966  
-36.000000	-1.290513 	0.422829  	0.248910  
-35.000000	-1.326574 	0.398967  	0.245855  
-34.000000	-1.362636 	0.375105  	0.242800  
-33.000000	-1.401669 	0.351796  	0.238884  
-32.000000	-1.446052 	0.329485  	0.233420  
-31.000000	-1.490435 	0.307173  	0.227957  
-30.000000	-1.534817 	0.284862  	0.222493  
-29.000000	-1.579200 	0.262550  	0.217030  
-28.000000	-1.508705 	0.256234  	0.203482  
-27.000000	-1.438210 	0.249919  	0.189933  
-26.000000	-1.367715 	0.243604  	0.176385  
-25.000000	-1.297220 	0.237288  	0.162837  
-24.000000	-1.226725 	0.230972  	0.149289  
-23.000000	-1.156230 	0.224657  	0.135741  
-22.000000	-1.085735 	0.218341  	0.122192  
-21.000000	-1.015240 	0.212026  	0.108644  
-20.000000	-0.944745 	0.205710  	0.096875  
-19.000000	-0.874250 	0.199395  	0.087478  
-18.000000	-0.803755 	0.193079  	0.079860  
-17.000000	-0.733260 	0.186764  	0.072242  
-16.000000	-0.662765 	0.180449  	0.064623  
-15.000000	-0.592270 	0.174133  	0.057005  
-14.000000	-0.521775 	0.167818  	0.049387  
-13.000000	-0.451280 	0.161502  	0.041769  
-12.000000	-0.380785 	0.155187  	0.034151  
-11.000000	-0.310290 	0.148871  	0.015284  
-10.000000	-0.239795 	0.142556  	-0.005458 
-9.000000 	-0.169300 	0.136240  	-0.026200 
-8.000000 	-0.196367 	0.113223  	-0.033167 
-7.000000 	-0.223433 	0.090207  	-0.040133 
-6.000000 	-0.250500 	0.067190  	-0.047100 
-5.000000 	-0.132700 	0.067890  	-0.050100 
-4.000000 	0.043400  	0.054440  	-0.089300 
-3.000000 	0.240300  	0.048300  	-0.124100 
-2.000000 	0.384700  	0.047840  	-0.136100 
-1.000000 	0.535600  	0.047120  	-0.150300 
0.000000  	0.680600  	0.047150  	-0.162000 
1.000000  	0.815800  	0.047520  	-0.170500 
2.000000  	0.961100  	0.047910  	-0.182200 
3.000000  	1.087400  	0.048860  	-0.187800 
4.000000  	1.222600  	0.049640  	-0.196200 
5.000000  	1.357900  	0.050820  	-0.205000 
6.000000  	1.477800  	0.052190  	-0.209000 
7.000000  	1.604000  	0.053460  	-0.215200 
8.000000  	1.729200  	0.055300  	-0.221500 
9.000000  	1.844600  	0.056670  	-0.224500 
10.000000 	1.952500  	0.059040  	-0.227100 
11.000000 	2.067200  	0.061100  	-0.231200 
