! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0012826 -0.0963993
0.9802448 -0.0919972
0.9592239 -0.0874991
0.9381279 -0.0833915
0.9168926 -0.0800711
0.8955104 -0.0779239
0.8740326 -0.0771857
0.8525483 -0.0777089
0.8311090 -0.0791965
0.8097375 -0.0815075
0.7884600 -0.0845501
0.7672862 -0.0882377
0.7462151 -0.0924856
0.7252446 -0.0972017
0.7043668 -0.1022969
0.6835622 -0.1076859
0.6628106 -0.1132870
0.6420929 -0.1190224
0.6213903 -0.1248150
0.6006860 -0.1305951
0.5799592 -0.1362962
0.5591924 -0.1418552
0.5383747 -0.1472139
0.5174965 -0.1523193
0.4965484 -0.1571183
0.4755235 -0.1615693
0.4544164 -0.1656301
0.4332311 -0.1692615
0.4119718 -0.1724262
0.3906437 -0.1750938
0.3692555 -0.1772299
0.3478186 -0.1787802
0.3263428 -0.1796541
0.3048476 -0.1796972
0.2833771 -0.1787688
0.2619811 -0.1767589
0.2407161 -0.1736450
0.2196414 -0.1694291
0.1988116 -0.1641343
0.1782776 -0.1577893
0.1580866 -0.1504245
0.1382890 -0.1420593
0.1189408 -0.1326963
0.1001185 -0.1223213
0.0819182 -0.1108978
0.0644677 -0.0983541
0.0479615 -0.0845950
0.0326855 -0.0694843
0.0190874 -0.0528478
0.0079030 -0.0345256
0.0004104 -0.0144277
-0.0007380 0.0068994
0.0053969 0.0274319
0.0158804 0.0461552
0.0291026 0.0630907
0.0442140 0.0783637
0.0607038 0.0921403
0.0782347 0.1045702
0.0965691 0.1157720
0.1155524 0.1258499
0.1350575 0.1348859
0.1549819 0.1429403
0.1752584 0.1500672
0.1958279 0.1563051
0.2166377 0.1616788
0.2376482 0.1662060
0.2588223 0.1698990
0.2801217 0.1727679
0.3015147 0.1748293
0.3229704 0.1761361
0.3444543 0.1767963
0.3659482 0.1769346
0.3874400 0.1766356
0.4089222 0.1759177
0.4303865 0.1747887
0.4518267 0.1732660
0.4732371 0.1713702
0.4946119 0.1691265
0.5159511 0.1665682
0.5372565 0.1637298
0.5585300 0.1606481
0.5797735 0.1573587
0.6009884 0.1538944
0.6221766 0.1502808
0.6433427 0.1465404
0.6644890 0.1426886
0.6856179 0.1387412
0.7067309 0.1347084
0.7278299 0.1306026
0.7489160 0.1264328
0.7699915 0.1222099
0.7910580 0.1179426
0.8121178 0.1136418
0.8331719 0.1093133
0.8542227 0.1049684
0.8752715 0.1006143
0.8963200 0.0962589
0.9173684 0.0919027
0.9384141 0.0875331
0.9594456 0.0830924
0.9804243 0.0784192
1.0012820 0.0732294
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	0.000000  
-179.000000	0.053412  	0.001000  	0.040000  
-178.000000	0.106825  	0.001000  	0.080000  
-177.000000	0.160237  	0.001000  	0.120000  
-176.000000	0.213650  	0.001000  	0.160000  
-175.000000	0.267062  	0.001000  	0.200000  
-174.000000	0.320474  	0.001000  	0.240000  
-173.000000	0.373887  	0.001000  	0.280000  
-172.000000	0.427299  	0.001000  	0.320000  
-171.000000	0.480712  	0.001000  	0.357968  
-170.000000	0.534124  	0.001000  	0.395123  
-169.000000	0.587537  	0.001000  	0.423501  
-168.000000	0.640949  	0.001000  	0.447002  
-167.000000	0.694361  	0.004853  	0.470504  
-166.000000	0.747774  	0.011596  	0.494005  
-165.000000	0.801186  	0.021447  	0.517506  
-164.000000	0.854599  	0.034406  	0.541007  
-163.000000	0.908011  	0.048019  	0.564508  
-162.000000	0.961423  	0.062503  	0.588009  
-161.000000	1.014836  	0.077505  	0.609485  
-160.000000	1.068248  	0.093438  	0.627314  
-159.000000	1.121661  	0.109763  	0.642065  
-158.000000	1.175073  	0.127065  	0.649118  
-157.000000	1.228486  	0.144642  	0.656171  
-156.000000	1.281898  	0.163224  	0.663224  
-155.000000	1.335310  	0.181976  	0.670277  
-154.000000	1.388723  	0.201743  	0.677330  
-153.000000	1.442135  	0.221588  	0.684383  
-152.000000	1.495548  	0.242439  	0.691436  
-151.000000	1.548960  	0.263290  	0.698489  
-150.000000	1.505937  	0.285594  	0.687713  
-149.000000	1.462913  	0.307898  	0.676937  
-148.000000	1.419890  	0.330202  	0.666161  
-147.000000	1.376867  	0.352506  	0.655385  
-146.000000	1.339014  	0.375806  	0.641195  
-145.000000	1.304034  	0.399660  	0.625108  
-144.000000	1.269053  	0.423513  	0.609021  
-143.000000	1.234073  	0.447367  	0.592935  
-142.000000	1.200502  	0.471510  	0.578228  
-141.000000	1.170453  	0.496375  	0.566970  
-140.000000	1.140405  	0.521241  	0.555713  
-139.000000	1.110356  	0.546107  	0.544456  
-138.000000	1.080308  	0.570972  	0.533198  
-137.000000	1.053067  	0.596258  	0.526889  
-136.000000	1.026042  	0.621577  	0.520961  
-135.000000	0.999017  	0.646895  	0.515033  
-134.000000	0.971992  	0.672213  	0.509104  
-133.000000	0.946011  	0.697465  	0.503619  
-132.000000	0.920813  	0.722667  	0.498467  
-131.000000	0.895615  	0.747869  	0.493314  
-130.000000	0.870417  	0.773071  	0.488161  
-129.000000	0.845452  	0.798128  	0.483764  
-128.000000	0.821338  	0.822649  	0.482137  
-127.000000	0.797225  	0.847170  	0.480510  
-126.000000	0.773112  	0.871691  	0.478883  
-125.000000	0.748998  	0.896212  	0.477255  
-124.000000	0.725441  	0.919680  	0.475628  
-123.000000	0.701977  	0.942972  	0.474001  
-122.000000	0.678513  	0.966264  	0.472374  
-121.000000	0.655049  	0.989557  	0.470747  
-120.000000	0.631802  	1.011975  	0.469806  
-119.000000	0.608772  	1.033520  	0.469550  
-118.000000	0.585742  	1.055064  	0.469294  
-117.000000	0.562712  	1.076609  	0.469038  
-116.000000	0.539736  	1.097835  	0.468808  
-115.000000	0.517088  	1.117155  	0.468730  
-114.000000	0.494440  	1.136475  	0.468652  
-113.000000	0.471792  	1.155794  	0.468574  
-112.000000	0.449144  	1.175114  	0.468496  
-111.000000	0.426853  	1.192351  	0.468405  
-110.000000	0.404660  	1.209020  	0.468311  
-109.000000	0.382468  	1.225689  	0.468217  
-108.000000	0.360275  	1.242358  	0.468123  
-107.000000	0.338350  	1.257736  	0.468024  
-106.000000	0.316782  	1.271392  	0.467919  
-105.000000	0.295214  	1.285047  	0.467814  
-104.000000	0.273647  	1.298702  	0.467709  
-103.000000	0.252141  	1.312122  	0.467581  
-102.000000	0.231445  	1.322470  	0.467163  
-101.000000	0.210750  	1.332818  	0.466745  
-100.000000	0.190054  	1.343166  	0.466327  
-99.000000	0.169358  	1.353515  	0.465908  
-98.000000	0.149502  	1.361346  	0.464956  
-97.000000	0.129983  	1.368170  	0.463790  
-96.000000	0.110464  	1.374995  	0.462624  
-95.000000	0.090945  	1.381819  	0.461459  
-94.000000	0.071971  	1.387337  	0.460293  
-93.000000	0.053978  	1.390503  	0.459127  
-92.000000	0.035985  	1.393669  	0.457961  
-91.000000	0.017993  	1.396834  	0.456795  
-90.000000	0.000000  	1.400000  	0.455629  
-89.000000	-0.017993 	1.396834  	0.452252  
-88.000000	-0.035985 	1.393669  	0.448874  
-87.000000	-0.053978 	1.390503  	0.445496  
-86.000000	-0.071971 	1.387337  	0.442119  
-85.000000	-0.090945 	1.381819  	0.438741  
-84.000000	-0.110464 	1.374995  	0.435363  
-83.000000	-0.129983 	1.368170  	0.431985  
-82.000000	-0.149502 	1.361346  	0.428608  
-81.000000	-0.169358 	1.353515  	0.425071  
-80.000000	-0.190054 	1.343166  	0.421136  
-79.000000	-0.210750 	1.332818  	0.417201  
-78.000000	-0.231445 	1.322470  	0.413267  
-77.000000	-0.252141 	1.312122  	0.409332  
-76.000000	-0.273647 	1.298702  	0.405181  
-75.000000	-0.295214 	1.285047  	0.401013  
-74.000000	-0.316782 	1.271392  	0.396845  
-73.000000	-0.338350 	1.257736  	0.392677  
-72.000000	-0.360275 	1.242358  	0.388504  
-71.000000	-0.382468 	1.225689  	0.384328  
-70.000000	-0.404660 	1.209020  	0.380152  
-69.000000	-0.426853 	1.192351  	0.375975  
-68.000000	-0.449144 	1.175114  	0.371796  
-67.000000	-0.471792 	1.155794  	0.367608  
-66.000000	-0.494440 	1.136475  	0.363419  
-65.000000	-0.517088 	1.117155  	0.359230  
-64.000000	-0.539736 	1.097835  	0.355042  
-63.000000	-0.562712 	1.076609  	0.350905  
-62.000000	-0.585742 	1.055064  	0.346778  
-61.000000	-0.608772 	1.033520  	0.342650  
-60.000000	-0.631802 	1.011975  	0.338522  
-59.000000	-0.655049 	0.989557  	0.334630  
-58.000000	-0.678513 	0.966264  	0.330973  
-57.000000	-0.701977 	0.942972  	0.327316  
-56.000000	-0.725441 	0.919680  	0.323659  
-55.000000	-0.748998 	0.896212  	0.320002  
-54.000000	-0.773112 	0.871691  	0.316346  
-53.000000	-0.797225 	0.847170  	0.312689  
-52.000000	-0.821338 	0.822649  	0.309032  
-51.000000	-0.845452 	0.798128  	0.305375  
-50.000000	-0.870417 	0.773071  	0.302089  
-49.000000	-0.895615 	0.747869  	0.298904  
-48.000000	-0.920813 	0.722667  	0.295719  
-47.000000	-0.946011 	0.697465  	0.292534  
-46.000000	-0.971992 	0.672213  	0.289394  
-45.000000	-0.999017 	0.646895  	0.286313  
-44.000000	-1.026042 	0.621577  	0.283232  
-43.000000	-1.053067 	0.596258  	0.280151  
-42.000000	-1.080308 	0.570972  	0.277029  
-41.000000	-1.110356 	0.546107  	0.273377  
-40.000000	-1.140405 	0.521241  	0.269725  
-39.000000	-1.170453 	0.496375  	0.266072  
-38.000000	-1.200502 	0.471510  	0.262420  
-37.000000	-1.234073 	0.447367  	0.258397  
-36.000000	-1.269053 	0.423513  	0.254227  
-35.000000	-1.304034 	0.399660  	0.250057  
-34.000000	-1.339014 	0.375806  	0.245886  
-33.000000	-1.376867 	0.352506  	0.240946  
-32.000000	-1.419890 	0.330202  	0.234619  
-31.000000	-1.462913 	0.307898  	0.228292  
-30.000000	-1.505937 	0.285594  	0.221965  
-29.000000	-1.548960 	0.263290  	0.215639  
-28.000000	-1.498595 	0.253445  	0.202073  
-27.000000	-1.448230 	0.243600  	0.188506  
-26.000000	-1.397866 	0.233756  	0.174940  
-25.000000	-1.347501 	0.223911  	0.161374  
-24.000000	-1.297136 	0.214066  	0.147808  
-23.000000	-1.246771 	0.204221  	0.134242  
-22.000000	-1.196407 	0.194377  	0.120676  
-21.000000	-1.146042 	0.184532  	0.107110  
-20.000000	-1.095677 	0.174687  	0.093544  
-19.000000	-1.045312 	0.164842  	0.077524  
-18.000000	-0.994948 	0.154998  	0.061503  
-17.000000	-0.944583 	0.145153  	0.045483  
-16.000000	-0.894218 	0.135308  	0.029462  
-15.000000	-0.843853 	0.125463  	0.013442  
-14.000000	-0.793489 	0.115619  	-0.002579 
-13.000000	-0.743124 	0.105774  	-0.018599 
-12.000000	-0.692759 	0.095929  	-0.034620 
-11.000000	-0.642394 	0.086084  	-0.050640 
-10.000000	-0.592030 	0.076240  	-0.052060 
-9.000000 	-0.541665 	0.066395  	-0.053480 
-8.000000 	-0.491300 	0.056550  	-0.054900 
-7.000000 	-0.386700 	0.062320  	-0.046000 
-6.000000 	-0.195600 	0.047630  	-0.091400 
-5.000000 	-0.070300 	0.047940  	-0.096300 
-4.000000 	0.100000  	0.044900  	-0.118900 
-3.000000 	0.229700  	0.045110  	-0.125100 
-2.000000 	0.385800  	0.044160  	-0.140700 
-1.000000 	0.517000  	0.044460  	-0.147300 
0.000000  	0.662700  	0.044330  	-0.158900 
1.000000  	0.797600  	0.044790  	-0.166800 
2.000000  	0.931600  	0.045360  	-0.174400 
3.000000  	1.064950  	0.046215  	-0.181800 
4.000000  	1.198300  	0.047070  	-0.189200 
5.000000  	1.326500  	0.048000  	-0.195100 
6.000000  	1.454900  	0.049240  	-0.201400 
7.000000  	1.583600  	0.050680  	-0.207900 
