! AeroDyn v15 airfoil data file
! Generated from airfoilprep.py modified by D. Kim (Mar 14th, 2022) 
! start all comment lines with ! 
! ------------------------------------------------------------------------------
"DEFAULT"       InterpOrd    ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=1]
! ------------------------------------------------------------------------------
! 0.20          RelThickness ! The non-dimensional thickness of the airfoil (thickness/chord) [only used if UAMod=7] [default=0.2] (-)
  1             NonDimArea   ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
  103           NumCoords    ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
  0.25       0
! Airfoil: 
!  x/c        y/c
1.0013153 -0.0000016
0.9810650 0.0047890
0.9608310 0.0096696
0.9405094 0.0141483
0.9200315 0.0178527
0.8993838 0.0204203
0.8786077 0.0215537
0.8578025 0.0213242
0.8370359 0.0200294
0.8163371 0.0178463
0.7957412 0.0148634
0.7752633 0.0111665
0.7549046 0.0068466
0.7346669 0.0019952
0.7145460 -0.0032997
0.6945196 -0.0089443
0.6745667 -0.0148580
0.6546666 -0.0209609
0.6347981 -0.0271705
0.6149446 -0.0334194
0.5950813 -0.0396361
0.5751870 -0.0457573
0.5552469 -0.0517229
0.5352476 -0.0574764
0.5151755 -0.0629612
0.4950211 -0.0681353
0.4747724 -0.0729473
0.4544287 -0.0773542
0.4339963 -0.0813231
0.4134796 -0.0848090
0.3928861 -0.0877830
0.3722226 -0.0902157
0.3514951 -0.0920692
0.3307165 -0.0933081
0.3099090 -0.0938732
0.2890977 -0.0937643
0.2683082 -0.0929081
0.2475665 -0.0912919
0.2268969 -0.0889026
0.2063288 -0.0857393
0.1858926 -0.0818115
0.1656152 -0.0771317
0.1455265 -0.0716951
0.1256618 -0.0654933
0.1060671 -0.0584903
0.0867957 -0.0506193
0.0679566 -0.0417706
0.0497237 -0.0317677
0.0323658 -0.0202924
0.0165230 -0.0068370
0.0036959 0.0094839
-0.0011609 0.0293527
0.0067148 0.0484002
0.0203490 0.0640506
0.0365083 0.0771560
0.0540281 0.0883311
0.0724493 0.0980291
0.0914681 0.1065109
0.1108951 0.1139579
0.1306451 0.1205168
0.1506389 0.1263007
0.1708162 0.1313910
0.1911430 0.1358521
0.2115889 0.1397375
0.2321285 0.1430793
0.2527447 0.1459029
0.2734239 0.1482276
0.2941545 0.1500590
0.3149239 0.1514036
0.3357188 0.1522704
0.3565257 0.1526382
0.3773338 0.1525662
0.3981346 0.1519848
0.4189197 0.1509489
0.4396793 0.1494578
0.4604034 0.1475282
0.4810831 0.1451857
0.5017139 0.1424699
0.5222975 0.1394176
0.5428381 0.1360774
0.5633389 0.1324876
0.5838041 0.1286931
0.6042345 0.1247209
0.6246335 0.1205994
0.6450053 0.1163463
0.6653528 0.1119777
0.6856783 0.1075065
0.7059839 0.1029451
0.7262722 0.0983070
0.7465441 0.0935989
0.7668018 0.0888308
0.7870482 0.0840148
0.8072847 0.0791571
0.8275143 0.0742703
0.8477382 0.0693602
0.8679585 0.0644353
0.8881775 0.0595052
0.9083959 0.0545726
0.9286116 0.0496288
0.9488178 0.0446464
0.9688599 0.0390665
0.9856433 0.0272914
! ------------------------------------------------------------------------------
"unused"        BL_file      ! The file name including the boundary layer characteristics of the profile. Unused if the aeroacoustic module is not called.
  11        	NumTabs      ! Number of airfoil tables in this file.
! ------------------------------------------------------------------------------
! data for table	1         
! ------------------------------------------------------------------------------
  0.200000  	Re           ! Reynolds number in millions
  0.000000  	UserProp     ! User property (control) setting
Flase           InclUAdata   ! Is unsteady aerodynamics data included in this table? If TRUE, then include UA coefficients below this line. Any missing coefficients will be calculated internally.
! Table of aerodynamics coefficients
  361       	NumAlf       ! Number of data lines in the following table
!Alpha      Cl          Cd          Cm/Cp
!(deg)      (-)         (-)         (-)
-180.000000	0.000000  	0.001000  	-7.282900 
-179.000000	0.047545  	0.001000  	-7.282900 
-178.000000	0.095089  	0.001000  	-7.282900 
-177.000000	0.142634  	0.001000  	-7.282900 
-176.000000	0.190178  	0.001000  	-7.282900 
-175.000000	0.237723  	0.001000  	-7.282900 
-174.000000	0.285267  	0.001000  	-7.282900 
-173.000000	0.332812  	0.001000  	-7.282900 
-172.000000	0.380357  	0.001000  	-7.282900 
-171.000000	0.427901  	0.003393  	-7.282900 
-170.000000	0.475446  	0.008975  	-7.282900 
-169.000000	0.522990  	0.017271  	-7.282900 
-168.000000	0.570535  	0.026653  	-7.282900 
-167.000000	0.618080  	0.037388  	-7.282900 
-166.000000	0.665624  	0.048498  	-7.282900 
-165.000000	0.713169  	0.060548  	-7.282900 
-164.000000	0.760713  	0.073324  	-7.282900 
-163.000000	0.808258  	0.086646  	-7.282900 
-162.000000	0.855802  	0.101018  	-7.282900 
-161.000000	0.903347  	0.115732  	-7.282900 
-160.000000	0.950892  	0.131453  	-7.282900 
-159.000000	0.998436  	0.147652  	-7.282900 
-158.000000	1.045981  	0.164490  	-7.282900 
-157.000000	1.093525  	0.182084  	-7.282900 
-156.000000	1.141070  	0.199980  	-7.282900 
-155.000000	1.115205  	0.219667  	-7.282900 
-154.000000	1.089341  	0.239354  	-7.282900 
-153.000000	1.063476  	0.259041  	-7.282900 
-152.000000	1.037612  	0.278728  	-7.282900 
-151.000000	1.013692  	0.299045  	-7.282900 
-150.000000	0.994636  	0.320935  	-7.282900 
-149.000000	0.975580  	0.342826  	-7.282900 
-148.000000	0.956524  	0.364716  	-7.282900 
-147.000000	0.937468  	0.386606  	-7.282900 
-146.000000	0.920324  	0.409422  	-7.282900 
-145.000000	0.904614  	0.432930  	-7.282900 
-144.000000	0.888903  	0.456439  	-7.282900 
-143.000000	0.873193  	0.479948  	-7.282900 
-142.000000	0.857483  	0.503456  	-7.282900 
-141.000000	0.842973  	0.527814  	-7.282900 
-140.000000	0.828663  	0.552313  	-7.282900 
-139.000000	0.814353  	0.576811  	-7.282900 
-138.000000	0.800043  	0.601310  	-7.282900 
-137.000000	0.785769  	0.625857  	-7.282900 
-136.000000	0.771717  	0.650692  	-7.282900 
-135.000000	0.757665  	0.675527  	-7.282900 
-134.000000	0.743612  	0.700363  	-7.282900 
-133.000000	0.729560  	0.725198  	-7.282900 
-132.000000	0.715332  	0.749893  	-7.282900 
-131.000000	0.700870  	0.774402  	-7.282900 
-130.000000	0.686409  	0.798911  	-7.282900 
-129.000000	0.671947  	0.823420  	-7.282900 
-128.000000	0.657485  	0.847929  	-7.282900 
-127.000000	0.642476  	0.871739  	-7.282900 
-126.000000	0.627247  	0.895269  	-7.282900 
-125.000000	0.612019  	0.918799  	-7.282900 
-124.000000	0.596790  	0.942329  	-7.282900 
-123.000000	0.581562  	0.965859  	-7.282900 
-122.000000	0.565427  	0.987785  	-7.282900 
-121.000000	0.549291  	1.009710  	-7.282900 
-120.000000	0.533156  	1.031635  	-7.282900 
-119.000000	0.517021  	1.053561  	-7.282900 
-118.000000	0.500633  	1.074861  	-7.282900 
-117.000000	0.483613  	1.094600  	-7.282900 
-116.000000	0.466593  	1.114339  	-7.282900 
-115.000000	0.449573  	1.134078  	-7.282900 
-114.000000	0.432553  	1.153816  	-7.282900 
-113.000000	0.415111  	1.172007  	-7.282900 
-112.000000	0.397353  	1.189037  	-7.282900 
-111.000000	0.379596  	1.206067  	-7.282900 
-110.000000	0.361838  	1.223097  	-7.282900 
-109.000000	0.344080  	1.240127  	-7.282900 
-108.000000	0.325901  	1.254450  	-7.282900 
-107.000000	0.307651  	1.268322  	-7.282900 
-106.000000	0.289401  	1.282195  	-7.282900 
-105.000000	0.271151  	1.296067  	-7.282900 
-104.000000	0.252877  	1.309436  	-7.282900 
-103.000000	0.234457  	1.319788  	-7.282900 
-102.000000	0.216038  	1.330139  	-7.282900 
-101.000000	0.197618  	1.340491  	-7.282900 
-100.000000	0.179199  	1.350842  	-7.282900 
-99.000000	0.160870  	1.359570  	-7.282900 
-98.000000	0.142662  	1.366133  	-7.282900 
-97.000000	0.124455  	1.372697  	-7.282900 
-96.000000	0.106247  	1.379260  	-7.282900 
-95.000000	0.088039  	1.385823  	-7.282900 
-94.000000	0.070286  	1.389562  	-7.282900 
-93.000000	0.052715  	1.392171  	-7.282900 
-92.000000	0.035143  	1.394781  	-7.282900 
-91.000000	0.017572  	1.397390  	-7.282900 
-90.000000	0.000000  	1.400000  	-7.282900 
-89.000000	-0.017572 	1.397390  	-7.282900 
-88.000000	-0.035143 	1.394781  	-7.282900 
-87.000000	-0.052715 	1.392171  	-7.282900 
-86.000000	-0.070286 	1.389562  	-7.282900 
-85.000000	-0.088039 	1.385823  	-7.282900 
-84.000000	-0.106247 	1.379260  	-7.282900 
-83.000000	-0.124455 	1.372697  	-7.282900 
-82.000000	-0.142662 	1.366133  	-7.282900 
-81.000000	-0.160870 	1.359570  	-7.282900 
-80.000000	-0.179199 	1.350842  	-7.282900 
-79.000000	-0.197618 	1.340491  	-7.282900 
-78.000000	-0.216038 	1.330139  	-7.282900 
-77.000000	-0.234457 	1.319788  	-7.282900 
-76.000000	-0.252877 	1.309436  	-7.282900 
-75.000000	-0.271151 	1.296067  	-7.282900 
-74.000000	-0.289401 	1.282195  	-7.282900 
-73.000000	-0.307651 	1.268322  	-7.282900 
-72.000000	-0.325901 	1.254450  	-7.282900 
-71.000000	-0.344080 	1.240127  	-7.282900 
-70.000000	-0.361838 	1.223097  	-7.282900 
-69.000000	-0.379596 	1.206067  	-7.282900 
-68.000000	-0.397353 	1.189037  	-7.282900 
-67.000000	-0.415111 	1.172007  	-7.282900 
-66.000000	-0.432553 	1.153816  	-7.282900 
-65.000000	-0.449573 	1.134078  	-7.282900 
-64.000000	-0.466593 	1.114339  	-7.282900 
-63.000000	-0.483613 	1.094600  	-7.282900 
-62.000000	-0.500633 	1.074861  	-7.282900 
-61.000000	-0.517021 	1.053561  	-7.282900 
-60.000000	-0.533156 	1.031635  	-7.282900 
-59.000000	-0.549291 	1.009710  	-7.282900 
-58.000000	-0.565427 	0.987785  	-7.282900 
-57.000000	-0.581562 	0.965859  	-7.282900 
-56.000000	-0.596790 	0.942329  	-7.282900 
-55.000000	-0.612019 	0.918799  	-7.282900 
-54.000000	-0.627247 	0.895269  	-7.282900 
-53.000000	-0.642476 	0.871739  	-7.282900 
-52.000000	-0.657485 	0.847929  	-7.282900 
-51.000000	-0.671947 	0.823420  	-7.282900 
-50.000000	-0.686409 	0.798911  	-7.282900 
-49.000000	-0.700870 	0.774402  	-7.282900 
-48.000000	-0.715332 	0.749893  	-7.282900 
-47.000000	-0.729560 	0.725198  	-7.282900 
-46.000000	-0.743612 	0.700363  	-7.282900 
-45.000000	-0.757665 	0.675527  	-7.282900 
-44.000000	-0.771717 	0.650692  	-7.282900 
-43.000000	-0.785769 	0.625857  	-7.282900 
-42.000000	-0.800043 	0.601310  	-7.282900 
-41.000000	-0.814353 	0.576811  	-7.282900 
-40.000000	-0.828663 	0.552313  	-7.282900 
-39.000000	-0.842973 	0.527814  	-7.282900 
-38.000000	-0.857483 	0.503456  	-7.282900 
-37.000000	-0.873193 	0.479948  	-7.282900 
-36.000000	-0.888903 	0.456439  	-7.282900 
-35.000000	-0.904614 	0.432930  	-7.282900 
-34.000000	-0.920324 	0.409422  	-7.282900 
-33.000000	-0.937468 	0.386606  	-7.282900 
-32.000000	-0.956524 	0.364716  	-7.282900 
-31.000000	-0.975580 	0.342826  	-7.282900 
-30.000000	-0.994636 	0.320935  	-7.282900 
-29.000000	-1.013692 	0.299045  	-7.282900 
-28.000000	-1.037612 	0.278728  	-7.282900 
-27.000000	-1.063476 	0.259041  	-7.282900 
-26.000000	-1.089341 	0.239354  	-7.282900 
-25.000000	-1.115205 	0.219667  	-7.282900 
-24.000000	-1.141070 	0.199980  	-7.282900 
-23.000000	-1.092922 	0.190429  	-7.282900 
-22.000000	-1.044774 	0.180877  	-7.282900 
-21.000000	-0.996626 	0.171326  	-7.282900 
-20.000000	-0.948479 	0.161774  	-7.282900 
-19.000000	-0.900331 	0.152223  	-7.282900 
-18.000000	-0.852183 	0.142671  	-7.282900 
-17.000000	-0.804035 	0.133120  	-7.282900 
-16.000000	-0.755887 	0.123569  	-7.282900 
-15.000000	-0.707739 	0.114017  	-7.282900 
-14.000000	-0.659591 	0.104466  	-7.282900 
-13.000000	-0.611444 	0.094914  	-7.282900 
-12.000000	-0.563296 	0.085363  	-7.282900 
-11.000000	-0.515148 	0.075811  	-4.371600 
-10.000000	-0.467000 	0.066260  	-1.460300 
-9.000000 	-0.276300 	0.063060  	-1.165600 
-8.000000 	-0.099100 	0.058180  	-0.983500 
-7.000000 	-0.062900 	0.051160  	-0.968300 
-6.000000 	-0.056900 	0.042930  	-0.996900 
-5.000000 	0.058500  	0.044070  	-0.872900 
-4.000000 	0.133000  	0.040070  	-0.830200 
-3.000000 	0.228500  	0.034290  	-0.836400 
-2.000000 	0.345500  	0.032290  	-0.910400 
-1.000000 	0.471300  	0.030720  	-0.992700 
0.000000  	0.602300  	0.029600  	-1.085500 
