LCOE	Rr [m]	Prated [W]	dhub [m]	#Turbine
-1.0	3.0	2000.0	3.0	3.0
-1.0	3.0	2000.0	3.0	4.0
-1.0	3.0	2000.0	3.0	5.0
1.4526	3.0	2000.0	4.0	3.0
1.1296	3.0	2000.0	4.0	4.0
-1.0	3.0	2000.0	4.0	5.0
1.4526	3.0	2000.0	5.0	3.0
1.1296	3.0	2000.0	5.0	4.0
-1.0	3.0	2000.0	5.0	5.0
-1.0	3.0	3000.0	3.0	3.0
-1.0	3.0	3000.0	3.0	4.0
-1.0	3.0	3000.0	3.0	5.0
1.4774	3.0	3000.0	4.0	3.0
1.1578	3.0	3000.0	4.0	4.0
-1.0	3.0	3000.0	4.0	5.0
1.4774	3.0	3000.0	5.0	3.0
1.1578	3.0	3000.0	5.0	4.0
-1.0	3.0	3000.0	5.0	5.0
-1.0	3.0	4000.0	3.0	3.0
-1.0	3.0	4000.0	3.0	4.0
-1.0	3.0	4000.0	3.0	5.0
1.5374	3.0	4000.0	4.0	3.0
1.2125	3.0	4000.0	4.0	4.0
-1.0	3.0	4000.0	4.0	5.0
1.5374	3.0	4000.0	5.0	3.0
1.2125	3.0	4000.0	5.0	4.0
-1.0	3.0	4000.0	5.0	5.0
-1.0	3.2	2000.0	3.0	3.0
-1.0	3.2	2000.0	3.0	4.0
-1.0	3.2	2000.0	3.0	5.0
1.3197	3.2	2000.0	4.0	3.0
1.0267	3.2	2000.0	4.0	4.0
-1.0	3.2	2000.0	4.0	5.0
1.3197	3.2	2000.0	5.0	3.0
-1.0	3.2	2000.0	5.0	4.0
-1.0	3.2	2000.0	5.0	5.0
-1.0	3.2	3000.0	3.0	3.0
-1.0	3.2	3000.0	3.0	4.0
-1.0	3.2	3000.0	3.0	5.0
1.3016	3.2	3000.0	4.0	3.0
1.0204	3.2	3000.0	4.0	4.0
-1.0	3.2	3000.0	4.0	5.0
1.3016	3.2	3000.0	5.0	3.0
-1.0	3.2	3000.0	5.0	4.0
-1.0	3.2	3000.0	5.0	5.0
-1.0	3.2	4000.0	3.0	3.0
-1.0	3.2	4000.0	3.0	4.0
-1.0	3.2	4000.0	3.0	5.0
1.3529	3.2	4000.0	4.0	3.0
1.0674	3.2	4000.0	4.0	4.0
-1.0	3.2	4000.0	4.0	5.0
1.3529	3.2	4000.0	5.0	3.0
-1.0	3.2	4000.0	5.0	4.0
-1.0	3.2	4000.0	5.0	5.0
-1.0	3.4	2000.0	3.0	3.0
-1.0	3.4	2000.0	3.0	4.0
-1.0	3.4	2000.0	3.0	5.0
1.2167	3.4	2000.0	4.0	3.0
-1.0	3.4	2000.0	4.0	4.0
-1.0	3.4	2000.0	4.0	5.0
1.2167	3.4	2000.0	5.0	3.0
-1.0	3.4	2000.0	5.0	4.0
-1.0	3.4	2000.0	5.0	5.0
-1.0	3.4	3000.0	3.0	3.0
-1.0	3.4	3000.0	3.0	4.0
-1.0	3.4	3000.0	3.0	5.0
1.1624	3.4	3000.0	4.0	3.0
-1.0	3.4	3000.0	4.0	4.0
-1.0	3.4	3000.0	4.0	5.0
1.1624	3.4	3000.0	5.0	3.0
-1.0	3.4	3000.0	5.0	4.0
-1.0	3.4	3000.0	5.0	5.0
-1.0	3.4	4000.0	3.0	3.0
-1.0	3.4	4000.0	3.0	4.0
-1.0	3.4	4000.0	3.0	5.0
1.2001	3.4	4000.0	4.0	3.0
-1.0	3.4	4000.0	4.0	4.0
-1.0	3.4	4000.0	4.0	5.0
1.2001	3.4	4000.0	5.0	3.0
-1.0	3.4	4000.0	5.0	4.0
-1.0	3.4	4000.0	5.0	5.0
-1.0	3.6	2000.0	3.0	3.0
-1.0	3.6	2000.0	3.0	4.0
-1.0	3.6	2000.0	3.0	5.0
1.1357	3.6	2000.0	4.0	3.0
-1.0	3.6	2000.0	4.0	4.0
-1.0	3.6	2000.0	4.0	5.0
-1.0	3.6	2000.0	5.0	3.0
-1.0	3.6	2000.0	5.0	4.0
-1.0	3.6	2000.0	5.0	5.0
-1.0	3.6	3000.0	3.0	3.0
-1.0	3.6	3000.0	3.0	4.0
-1.0	3.6	3000.0	3.0	5.0
1.0543	3.6	3000.0	4.0	3.0
-1.0	3.6	3000.0	4.0	4.0
-1.0	3.6	3000.0	4.0	5.0
-1.0	3.6	3000.0	5.0	3.0
-1.0	3.6	3000.0	5.0	4.0
-1.0	3.6	3000.0	5.0	5.0
-1.0	3.6	4000.0	3.0	3.0
-1.0	3.6	4000.0	3.0	4.0
-1.0	3.6	4000.0	3.0	5.0
1.0725	3.6	4000.0	4.0	3.0
-1.0	3.6	4000.0	4.0	4.0
-1.0	3.6	4000.0	4.0	5.0
-1.0	3.6	4000.0	5.0	3.0
-1.0	3.6	4000.0	5.0	4.0
-1.0	3.6	4000.0	5.0	5.0
