System Size (kW),System Size (W),Depth (ft),Depth (m),Platform Volume (m3),Platform Cost ($),Anchor Cost ($),Number of Systems,Operation Cost ($)
40,40000,16.12336,4.914400128,1.307189542,5004.751423,730.77008,25,53090.61216
40,40000,19.4042,5.91440016,1.307189542,5004.751423,740.6126,25,53646.17056
40,40000,22.68504,6.914400192,1.307189542,5004.751423,750.45512,25,54478.97896
40,40000,29.24672,8.914400256,1.307189542,5004.751423,770.14016,25,55346.09576
2,2000,13.84252,4.219200096,0.098039216,761.3813976,133.40756,500,273713.6159
2,2000,18.76378,5.719200144,0.098039216,761.3813976,148.17134,500,286129.8889
2,2000,23.68504,7.219200192,0.098039216,761.3813976,162.93512,500,302166.1619
2,2000,28.6063,8.71920024,0.098039216,761.3813976,177.6989,500,324142.4349
2,2000,33.52756,10.21920029,0.098039216,761.3813976,192.46268,500,357208.7079
2,2000,43.37008,13.21920038,0.098039216,761.3813976,221.99024,500,391401.2539
6,6000,13.84252,4.219200096,0.196078431,1576.195056,181.28756,166.6666667,151228.7663
6,6000,18.76378,5.719200144,0.196078431,1576.195056,196.05134,166.6666667,155367.5239
6,6000,23.68504,7.219200192,0.196078431,1576.195056,210.81512,166.6666667,160712.9483
6,6000,28.6063,8.71920024,0.196078431,1576.195056,225.5789,166.6666667,168038.3726
6,6000,33.52756,10.21920029,0.196078431,1576.195056,240.34268,166.6666667,179060.4636
6,6000,43.37008,13.21920038,0.196078431,1576.195056,269.87024,166.6666667,190457.9789
20,20000,13.84252,4.219200096,0.653594771,2715.791323,404.72756,50,79736.21122
20,20000,18.76378,5.719200144,0.653594771,2715.791323,419.49134,50,80977.83852
20,20000,23.68504,7.219200192,0.653594771,2715.791323,434.25512,50,82581.46582
20,20000,28.6063,8.71920024,0.653594771,2715.791323,449.0189,50,84779.09312
20,20000,33.52756,10.21920029,0.653594771,2715.791323,463.78268,50,88085.72042
20,20000,43.37008,13.21920038,0.653594771,2715.791323,493.31024,50,91504.97502
40,40000,13.84252,4.219200096,1.307189542,4054.751423,723.92756,25,59669.50586
40,40000,18.76378,5.719200144,1.307189542,4054.751423,738.69134,25,60290.31951
40,40000,23.68504,7.219200192,1.307189542,4054.751423,753.45512,25,61092.13316
40,40000,28.6063,8.71920024,1.307189542,4054.751423,768.2189,25,62190.94681
40,40000,33.52756,10.21920029,1.307189542,4054.751423,782.98268,25,63844.26046
40,40000,43.37008,13.21920038,1.307189542,4054.751423,812.51024,25,65553.88776
80,80000,13.84252,4.219200096,2.614379085,5359.998887,1362.32756,12.5,43980.31226
80,80000,18.76378,5.719200144,2.614379085,5359.998887,1377.09134,12.5,44290.71908
80,80000,23.68504,7.219200192,2.614379085,5359.998887,1391.85512,12.5,44691.62591
80,80000,28.6063,8.71920024,2.614379085,5359.998887,1406.6189,12.5,45241.03273
80,80000,33.52756,10.21920029,2.614379085,5359.998887,1421.38268,12.5,46067.68956
80,80000,43.37008,13.21920038,2.614379085,5359.998887,1450.91024,12.5,46922.50321
3,3000,18.12336,5.524000128,0.147058824,844.791995,170.19008,333.3333333,229473.5705
3,3000,24.68504,7.524000192,0.147058824,844.791995,189.87512,333.3333333,241807.8225
3,3000,31.24672,9.524000256,0.147058824,844.791995,209.56016,333.3333333,257762.0745
3,3000,37.8084,11.52400032,0.147058824,844.791995,229.2452,333.3333333,279656.3265
3,3000,44.37008,13.52400038,0.147058824,844.791995,248.93024,333.3333333,312640.5785
3,3000,57.49344,17.52400051,0.147058824,844.791995,288.30032,333.3333333,346669.0825
9,9000,18.12336,5.524000128,0.294117647,1681.285823,242.01008,111.1111111,132196.2327
9,9000,24.68504,7.524000192,0.294117647,1681.285823,261.69512,111.1111111,136307.65
9,9000,31.24672,9.524000256,0.294117647,1681.285823,281.38016,111.1111111,141625.734
9,9000,37.8084,11.52400032,0.294117647,1681.285823,301.0652,111.1111111,148923.818
9,9000,44.37008,13.52400038,0.294117647,1681.285823,320.75024,111.1111111,159918.5687
