TSR	Cp	Ct
0.055325	0.0251	0.92368
0.055512	0.024897	0.92976
0.13421	0.057714	0.89888
0.13441	0.057696	0.90179
0.21548	0.086753	0.85842
0.29711	0.11145	0.81384
0.37993	0.13186	0.76881
0.46301	0.14771	0.72598
0.5459	0.16073	0.68483
0.62936	0.1697	0.65278
0.71351	0.17586	0.61325
0.79844	0.17831	0.58903
0.88114	0.17591	0.54904
0.96357	0.17244	0.53245
1.054	0.16223	0.48833
1.1346	0.14781	0.47289
1.2196	0.12848	0.4261
1.3036	0.10432	0.41012
1.3914	0.073758	0.35853
1.4752	0.036639	0.34277
