TSR	Cp	Ct
1.961677490000000024e+00	2.382044480000000131e-01	4.230728329999999815e-01
2.156077960000000182e+00	2.726805270000000059e-01	4.728729950000000182e-01
2.350478429999999896e+00	3.134787980000000029e-01	5.314896770000000492e-01
2.544878900000000055e+00	3.530211979999999805e-01	5.921262999999999943e-01
2.745170299999999841e+00	3.885861509999999908e-01	6.521085760000000509e-01
2.939570770000000000e+00	4.122963519999999771e-01	7.016570460000000065e-01
3.133971240000000158e+00	4.238021020000000139e-01	7.350081099999999923e-01
3.328371709999999872e+00	4.296693569999999740e-01	7.573369100000000298e-01
3.528663110000000103e+00	4.332145050000000275e-01	7.753342749999999617e-01
3.723063579999999817e+00	4.351132930000000121e-01	7.901623300000000238e-01
3.917464049999999975e+00	4.357346209999999886e-01	8.030080379999999796e-01
4.111864530000000073e+00	4.352852400000000177e-01	8.143435519999999705e-01
4.312155920000000364e+00	4.338604919999999865e-01	8.246043400000000467e-01
4.506556390000000079e+00	4.317633189999999788e-01	8.334904659999999854e-01
4.700956859999999793e+00	4.289950169999999785e-01	8.414019400000000148e-01
4.901248260000000023e+00	4.254589469999999762e-01	8.486786560000000312e-01
5.095648729999999738e+00	4.213705309999999926e-01	8.549168289999999892e-01
5.290049200000000340e+00	4.166266359999999946e-01	8.604318779999999833e-01
5.484449670000000054e+00	4.111335660000000058e-01	8.652252160000000192e-01
5.684741070000000285e+00	4.047218120000000141e-01	8.694717669999999510e-01
5.879141539999999999e+00	3.977757109999999763e-01	8.729135670000000014e-01
6.073542009999999713e+00	3.901136020000000038e-01	8.757273899999999944e-01
6.267942490000000255e+00	3.816629200000000166e-01	8.779241340000000227e-01
6.468233879999999658e+00	3.721306220000000220e-01	8.796076350000000543e-01
