TSR	Cp	Ct
0.054924	0.026999	0.94439
0.054979	0.026866	0.94586
0.13303	0.062379	0.91186
0.13336	0.0623	0.91603
0.2144	0.093907	0.87693
0.29623	0.12036	0.83294
0.37865	0.14141	0.78276
0.4636	0.15818	0.73544
0.54776	0.16939	0.68328
0.63191	0.17825	0.64507
0.71659	0.18268	0.60218
0.79885	0.18379	0.57019
0.8852	0.18173	0.533
0.96611	0.17535	0.50209
1.0532	0.16473	0.46825
1.135	0.1497	0.43704
1.2221	0.12842	0.39908
1.3081	0.10422	0.36515
1.3932	0.071584	0.32544
1.4811	0.035677	0.28637
