TSR	Cp	Ct
0.058066	0.018949	0.67145
0.058258	0.018585	0.6757
0.13987	0.043523	0.65916
0.13988	0.043408	0.65937
0.22163	0.066457	0.65158
0.30374	0.089642	0.64061
0.38536	0.11194	0.64619
0.46781	0.13583	0.64685
0.54847	0.15772	0.65184
0.58407	0.16677	0.6452
0.58485	0.16799	0.64666
0.63187	0.1776	0.64278
0.71453	0.19217	0.62571
0.79804	0.20189	0.60072
0.87926	0.20844	0.57628
0.96924	0.21123	0.54518
1.049	0.20832	0.51176
1.1393	0.20151	0.47435
1.2244	0.19015	0.43804
1.3093	0.17213	0.39593
1.392	0.14966	0.35493
1.4822	0.12151	0.3131
1.5648	0.092635	0.2716
1.6539	0.054213	0.2278
1.7334	0.016443	0.18663
