TSR	Cp	Ct
0.052589	0.027343	0.99615
0.052617	0.028269	0.99684
0.22005	0.1077	0.95461
0.2202	0.10772	0.95559
0.33789	0.1506	0.90637
0.45729	0.18169	0.84339
0.58056	0.20214	0.76949
0.76477	0.21189	0.66981
0.95023	0.20564	0.57197
1.0705	0.188	0.51745
1.1945	0.16195	0.45872
1.3193	0.12855	0.3927
1.5031	0.049249	0.30584
1.7015	-0.062384	0.18447
