Name, Latitude, Longitude, Population
Anchorage, 61.2180, -149.9000, 291247
Juneau, 58.3020, -134.4200, 32756
Fairbanks, 64.8380, -147.7160, 32325
Eagle River, 61.3210, -149.5680, 24793
Badger, 64.8000, -147.5330, 19482
Knik-Fairview, 61.5130, -149.6000, 14923
College, 64.8570, -147.8030, 12964
Wasilla, 61.5810, -149.4410, 9284
Lakes, 61.6070, -149.3090, 8364
Ketchikan, 55.3420, -131.6480, 8197
Tanaina, 61.6270, -149.4280, 8197
Kake, 56.9653, -134.1564, 537
Levelock, 59.1101, -156.8587, 28
